"order","province","year","iucn","n_records"
"Accipitriformes","Anhui",2010,"LC",2
"Accipitriformes","Anhui",2012,"LC",1
"Accipitriformes","Anhui",2013,"LC",1
"Accipitriformes","Beijing",2013,"LC",2
"Accipitriformes","Chongqing",2010,"NT",1
"Accipitriformes","Fujian",2001,"LC",1
"Accipitriformes","Gansu",2007,"NT",1
"Accipitriformes","Gansu",2014,"LC",1
"Accipitriformes","Gansu",2015,"NT",1
"Accipitriformes","Gansu",2015,"LC",1
"Accipitriformes","Gansu",2019,"LC",1
"Accipitriformes","Gansu",2022,"LC",1
"Accipitriformes","Gansu",2023,"VU",1
"Accipitriformes","Gansu",2024,"LC",1
"Accipitriformes","Gansu",2025,"LC",2
"Accipitriformes","Guangdong",2023,"LC",1
"Accipitriformes","Guangxi",2013,"NT",1
"Accipitriformes","Guangxi",2021,"LC",1
"Accipitriformes","Guizhou",2018,"NT",1
"Accipitriformes","Hainan",2022,"LC",1
"Accipitriformes","Heilongjiang",2011,"LC",1
"Accipitriformes","Heilongjiang",2020,"LC",1
"Accipitriformes","Henan",2008,"LC",1
"Accipitriformes","Henan",2012,"LC",1
"Accipitriformes","Henan",2014,"LC",1
"Accipitriformes","Hunan",2018,"LC",1
"Accipitriformes","Hunan",2021,"LC",1
"Accipitriformes","Hunan",2023,"VU",1
"Accipitriformes","Hunan",2023,"LC",1
"Accipitriformes","Hunan",2025,"LC",2
"Accipitriformes","Inner Mongolia",2023,"LC",2
"Accipitriformes","Jiangsu",2010,"LC",1
"Accipitriformes","Jiangsu",2024,"VU",1
"Accipitriformes","Jiangsu",2025,"LC",1
"Accipitriformes","Liaoning",2003,"NT",1
"Accipitriformes","Liaoning",2021,"LC",3
"Accipitriformes","Ningxia",2021,"VU",1
"Accipitriformes","Ningxia",2024,"LC",1
"Accipitriformes","Ningxia",2025,"LC",1
"Accipitriformes","Qinghai",2017,"LC",1
"Accipitriformes","Shaanxi",2007,"LC",1
"Accipitriformes","Shaanxi",2016,"LC",1
"Accipitriformes","Shaanxi",2020,"LC",1
"Accipitriformes","Shaanxi",2021,"LC",1
"Accipitriformes","Shaanxi",2024,"NT",1
"Accipitriformes","Shandong",2023,"LC",1
"Accipitriformes","Shanghai",2018,"LC",1
"Accipitriformes","Shanxi",2023,"LC",1
"Accipitriformes","Sichuan",2016,"LC",1
"Accipitriformes","Tianjin",2001,"LC",1
"Accipitriformes","Tianjin",2006,"LC",1
"Accipitriformes","Tianjin",2018,"LC",1
"Accipitriformes","Tibet",2016,"LC",1
"Accipitriformes","Tibet",2019,"NT",1
