record_id,species,order,order_group,longitude,latitude,province_std,year
78,Anser caerulescens,Anseriformes,Anseriformes,118.983333333333,37.7666666666667,Shandong,2000
225,Arenaria interpres,Charadriiformes,Charadriiformes,83.82097,42.89432,Xinjiang,2000
534,Chloris chloris,Passeriformes,Passeriformes,82.27,43.33,Xinjiang,2000
745,Napothera malacoptila,Passeriformes,Passeriformes,98.34,27.88,Yunnan,2000
977,Oroanassa magnifica,Pelecaniformes,Pelecaniformes,114.15,24.9,Guangdong,2000
1017,Phoenicopterus roseus,Phoenicopteriformes,Others,87.9333333333333,43.9833333333333,Xinjiang,2000
8,Accipiter trivirgatus,Accipitriformes,Accipitriformes,119.33,25.6,Fujian,2001
67,Pernis ptilorhynchus,Accipitriformes,Accipitriformes,117.82,39.33,Tianjin,2001
76,Anser caerulescens,Anseriformes,Anseriformes,122.074222222222,44.9,Jilin,2001
145,Charadrius asiaticus,Charadriiformes,Charadriiformes,94.332486,39.951323,Hubei,2001
306,Ciconia boyciana,Ciconiiformes,Others,117.483333333333,38.75,Tianjin,2001
419,Rallina fasciata,Gruiformes,Others,114.669444444444,22.4025,Guangdong,2001
572,Cutia nipalensis,Passeriformes,Passeriformes,110.27643,31.299174,Hubei,2001
568,Lanius schach,Passeriformes,Passeriformes,117,39.14,Tianjin,2001
880,Spodiopsar sericeus,Passeriformes,Passeriformes,117.31,39.08,Tianjin,2001
963,Ardeola bacchus,Pelecaniformes,Pelecaniformes,83.6666666666667,39.1666666666667,Xinjiang,2001
1074,Sula sula,Suliformes,Others,116.09428,37.44656,Fujian,2001
407,Amaurornis phoenicurus,Gruiformes,Others,123.418532374497,46.3862863090179,Jilin,2002
403,Grus virgo,Gruiformes,Others,117.41,39.3,Tianjin,2002
673,Myophonus caeruleus,Passeriformes,Passeriformes,108.26,22.08,Guangxi,2002
711,Paradoxornis heudei,Passeriformes,Passeriformes,117.61,39.29,Tianjin,2002
754,Phylloscopus burkii,Passeriformes,Passeriformes,117.21,38.96,Tianjin,2002
886,Sturnus vulgaris,Passeriformes,Passeriformes,117.19937,39.085099,Tianjin,2002
969,Bubulcus ibis,Pelecaniformes,Pelecaniformes,117.4,39.24,Tianjin,2002
1046,Athene noctua,Strigiformes,Others,99.26,28.35,Yunnan,2002
46,Gyps himalayensis,Accipitriformes,Accipitriformes,121.02,42.05,Liaoning,2003
353,Clamator coromandus,Cuculiformes,Others,115.433333333333,39.9666666666667,Beijing,2003
349,Centropus bengalensis,Cuculiformes,Others,117.304166666667,38.3847222222222,Hebei,2003
352,Centropus bengalensis,Cuculiformes,Others,102.27,30.18,Zhejiang,2003
828,Pycnonotus sinensis,Passeriformes,Passeriformes,116.62,40.36,Beijing,2003
675,Niltava grandis,Passeriformes,Passeriformes,106.34503,24.516148,Guangxi,2003
758,Phylloscopus castaniceps,Passeriformes,Passeriformes,125.25,49.09,Heilongjiang,2003
573,Garrulax canorus,Passeriformes,Passeriformes,121.633333333333,38.8666666666667,Liaoning,2003
593,Locustella davidi,Passeriformes,Passeriformes,121.633333333333,38.8666666666667,Liaoning,2003
970,Egretta eulophotes,Pelecaniformes,Pelecaniformes,108.305833333333,21.6741666666667,Guangxi,2003
79,Anser erythropus,Anseriformes,Anseriformes,100.083333333333,26.7333333333333,Yunnan,2004
411,Coturnicops exquisitus,Gruiformes,Others,100.353888888889,25.2958333333333,Yunnan,2004
735,Passer cinnamomeus,Passeriformes,Passeriformes,115.475194444444,39.7685555555556,Beijing,2004
699,Aethopyga christinae,Passeriformes,Passeriformes,110.537333333333,30.0736666666667,Hubei,2004
571,Lanius tephronotus,Passeriformes,Passeriformes,75.4027222222222,37.3726388888889,Xinjiang,2004
995,Pelecanus onocrotalus,Pelecaniformes,Pelecaniformes,106.089,30.815447,Sichuan,2004
1059,Tyto alba,Strigiformes,Others,109.51209,18.25248,Guangxi,2004
188,Hydroprogne caspia,Charadriiformes,Charadriiformes,102.64068,25.00224,Yunnan,2005
589,Helopsaltes pleskei,Passeriformes,Passeriformes,106.76649,22.09439,Guangxi,2005
896,Mixornis gularis,Passeriformes,Passeriformes,106.957666666667,22.4744,Guangxi,2005
469,Certhia tianquanensis,Passeriformes,Passeriformes,107.8,34.0166666666667,Shaanxi,2005
1035,Phoebastria immutabilis,Procellariiformes,Others,119.29659,26.09982,Fujian,2005
1045,Asio flammeus,Strigiformes,Others,107.07668,22.14016,Guangxi,2005
1062,Tyto longimembris,Strigiformes,Others,117.5,38.15,Hebei,2005
42,Elanus caeruleus,Accipitriformes,Accipitriformes,117.11,39.17,Tianjin,2006
86,Aythya nyroca,Anseriformes,Anseriformes,119.52324,25.96283,Fujian,2006
85,Aythya fuligula,Anseriformes,Anseriformes,109.17361,18.74986,Hainan,2006
184,Gygis alba,Charadriiformes,Charadriiformes,119.73637,25.61351,Fujian,2006
193,Larus cachinnans,Charadriiformes,Charadriiformes,119.29659,26.09982,Fujian,2006
157,Charadrius placidus,Charadriiformes,Charadriiformes,108.94,18.09,Hainan,2006
158,Charadrius veredus,Charadriiformes,Charadriiformes,110.7949011,19.5388959,Hainan,2006
195,Larus crassirostris,Charadriiformes,Charadriiformes,109.69077,19.91243,Hainan,2006
143,Synthliboramphus antiquus,Charadriiformes,Charadriiformes,110.5865823,19.9672118,Hainan,2006
163,Vanellus cinereus,Charadriiformes,Charadriiformes,110.12,19,Hainan,2006
166,Vanellus vanellus,Charadriiformes,Charadriiformes,110.5865823,19.9672118,Hainan,2006
287,Tringa guttifer,Charadriiformes,Charadriiformes,124.03,39.82,Liaoning,2006
324,Streptopelia decaocto,Columbiformes,Others,125.262222222222,49.1,Heilongjiang,2006
322,Spilopelia chinensis,Columbiformes,Others,111.724833333333,40.8074166666667,Inner Mongolia,2006
331,Alcedo hercules,Coraciiformes,Others,117.29652,26.508325,Fujian,2006
345,Todiramphus chloris,Coraciiformes,Others,119.67,26.01,Fujian,2006
381,Gavia adamsii,Gaviiformes,Others,104.28249,30.97706,Sichuan,2006
873,Gracupica nigricollis,Passeriformes,Passeriformes,106.5,29.51,Chongqing,2006
533,Chloris ambigua,Passeriformes,Passeriformes,105.19576,24.973891,Guangxi,2006
608,Copsychus saularis,Passeriformes,Passeriformes,108.3,22.85,Guangxi,2006
894,Cyanoderma rufifrons,Passeriformes,Passeriformes,106.85455,22.34262,Guangxi,2006
907,Otocichla mupinensis,Passeriformes,Passeriformes,104.955,24.61493,Guangxi,2006
729,Parus monticolus,Passeriformes,Passeriformes,106.085,23.36,Guangxi,2006
747,Pellorneum tickelli,Passeriformes,Passeriformes,106.88,22.35,Guangxi,2006
713,Suthora alphonsiana,Passeriformes,Passeriformes,105.09383,24.48957,Guangxi,2006
535,Chloris sinica,Passeriformes,Passeriformes,109.7,19.9,Hainan,2006
488,Dicrurus hottentottus,Passeriformes,Passeriformes,110.333333333333,20,Hainan,2006
871,Gracupica nigricollis,Passeriformes,Passeriformes,110.5865823,19.9672118,Hainan,2006
822,Pycnonotus aurigaster,Passeriformes,Passeriformes,110.333333333333,20,Hainan,2006
562,Riparia riparia,Passeriformes,Passeriformes,110.01,19.97,Hainan,2006
525,Bucanetes mongolicus,Passeriformes,Passeriformes,101.06188,41.971086,Heilongjiang,2006
862,Sitta villosa,Passeriformes,Passeriformes,126.66285,45.74208,Heilongjiang,2006
471,Cisticola juncidis,Passeriformes,Passeriformes,123.619033768175,39.933110384813,Liaoning,2006
830,Pycnonotus sinensis,Passeriformes,Passeriformes,121.59,38.92,Liaoning,2006
833,Pycnonotus sinensis,Passeriformes,Passeriformes,101.75,36.63,Qinghai,2006
429,Acrocephalus concinens,Passeriformes,Passeriformes,121.3973,31.6229,Shanghai,2006
590,Helopsaltes pleskei,Passeriformes,Passeriformes,121.91,31.52,Shanghai,2006
591,Helopsaltes pryeri,Passeriformes,Passeriformes,121.3973,31.6229,Shanghai,2006
521,Lonchura striata,Passeriformes,Passeriformes,95.15,29.2333333333333,Xizang,2006
514,Emberiza sulphurata,Passeriformes,Passeriformes,122.066666666667,30.5666666666667,Zhejiang,2006
753,Phylloscopus borealoides,Passeriformes,Passeriformes,122.066666666667,30.5666666666667,Zhejiang,2006
980,Oroanassa magnifica,Pelecaniformes,Pelecaniformes,113.64317,28.16378,Hunan,2006
961,Ardea intermedia,Pelecaniformes,Pelecaniformes,124.19,39.97,Liaoning,2006
971,Egretta eulophotes,Pelecaniformes,Pelecaniformes,117.80577,39.257647,Tianjin,2006
983,Oroanassa magnifica,Pelecaniformes,Pelecaniformes,101.55,24.03,Yunnan,2006
1025,Picumnus innominatus,Piciformes,Others,106.41769,23.13402,Guangxi,2006
1041,Bulweria bulwerii,Procellariiformes,Others,103.23098,22.903222,Yunnan,2006
1044,Syrrhaptes paradoxus,Pterocliformes,Others,107.133333333333,22.2,Guangxi,2006
1064,Fregata andrewsi,Suliformes,Others,119.22736,25.888656,Fujian,2006
63,Nisaetus nipalensis,Accipitriformes,Accipitriformes,104.705468,32.929844,Gansu,2007
12,Accipiter trivirgatus,Accipitriformes,Accipitriformes,107.666666666667,33.55,Shaanxi,2007
82,Anser indicus,Anseriformes,Anseriformes,106.433333333333,29.8419444444444,Chongqing,2007
117,Mareca americana,Anseriformes,Anseriformes,122.348416666667,45.0541944444444,Jilin,2007
295,Stercorarius pomarinus,Charadriiformes,Charadriiformes,110.01,41.53,Inner Mongolia,2007
