year,year_total,percentage
2000,6,0.0056657223796034
2001,11,0.010387157695939566
2002,8,0.007554296506137866
2003,10,0.009442870632672332
2004,7,0.0066100094428706326
2005,7,0.0066100094428706326
2006,49,0.04627006610009443
2007,28,0.02644003777148253
2008,20,0.018885741265344664
2009,22,0.02077431539187913
2010,49,0.04627006610009443
2011,41,0.03871576959395656
2012,23,0.021718602455146365
2013,41,0.03871576959395656
2014,47,0.044381491973559964
2015,34,0.03210576015108593
2016,42,0.039660056657223795
2017,69,0.06515580736543909
2018,58,0.05476864966949953
2019,73,0.06893295561850803
2020,42,0.039660056657223795
2021,60,0.056657223796033995
2022,63,0.059490084985835696
2023,77,0.07271010387157696
2024,92,0.08687440982058546
2025,80,0.07554296506137866
