year,order_bar,n_records,year_total
2000,Accipitriformes,0,6
2000,Anseriformes,1,6
2000,Caprimulgiformes,0,6
2000,Charadriiformes,1,6
2000,Ciconiiformes,0,6
2000,Columbiformes,0,6
2000,Coraciiformes,0,6
2000,Cuculiformes,0,6
2000,Falconiformes,0,6
2000,Galliformes,0,6
2000,Gaviiformes,0,6
2000,Gruiformes,0,6
2000,Others,0,6
2000,Passeriformes,2,6
2000,Pelecaniformes,1,6
2000,Phoenicopteriformes,1,6
2000,Piciformes,0,6
2000,Podicipediformes,0,6
2000,Procellariiformes,0,6
2000,Strigiformes,0,6
2000,Suliformes,0,6
2001,Accipitriformes,2,11
2001,Anseriformes,1,11
2001,Caprimulgiformes,0,11
2001,Charadriiformes,1,11
2001,Ciconiiformes,1,11
2001,Columbiformes,0,11
2001,Coraciiformes,0,11
2001,Cuculiformes,0,11
2001,Falconiformes,0,11
2001,Galliformes,0,11
2001,Gaviiformes,0,11
2001,Gruiformes,1,11
2001,Others,0,11
2001,Passeriformes,3,11
2001,Pelecaniformes,1,11
2001,Phoenicopteriformes,0,11
2001,Piciformes,0,11
2001,Podicipediformes,0,11
2001,Procellariiformes,0,11
2001,Strigiformes,0,11
2001,Suliformes,1,11
2002,Accipitriformes,0,8
2002,Anseriformes,0,8
2002,Caprimulgiformes,0,8
2002,Charadriiformes,0,8
2002,Ciconiiformes,0,8
2002,Columbiformes,0,8
2002,Coraciiformes,0,8
2002,Cuculiformes,0,8
2002,Falconiformes,0,8
2002,Galliformes,0,8
2002,Gaviiformes,0,8
2002,Gruiformes,2,8
2002,Others,0,8
2002,Passeriformes,4,8
2002,Pelecaniformes,1,8
2002,Phoenicopteriformes,0,8
2002,Piciformes,0,8
2002,Podicipediformes,0,8
2002,Procellariiformes,0,8
2002,Strigiformes,1,8
2002,Suliformes,0,8
2003,Accipitriformes,1,10
2003,Anseriformes,0,10
2003,Caprimulgiformes,0,10
2003,Charadriiformes,0,10
2003,Ciconiiformes,0,10
2003,Columbiformes,0,10
2003,Coraciiformes,0,10
2003,Cuculiformes,3,10
2003,Falconiformes,0,10
2003,Galliformes,0,10
2003,Gaviiformes,0,10
2003,Gruiformes,0,10
2003,Others,0,10
2003,Passeriformes,5,10
2003,Pelecaniformes,1,10
2003,Phoenicopteriformes,0,10
2003,Piciformes,0,10
2003,Podicipediformes,0,10
2003,Procellariiformes,0,10
2003,Strigiformes,0,10
2003,Suliformes,0,10
2004,Accipitriformes,0,7
2004,Anseriformes,1,7
2004,Caprimulgiformes,0,7
2004,Charadriiformes,0,7
2004,Ciconiiformes,0,7
2004,Columbiformes,0,7
2004,Coraciiformes,0,7
2004,Cuculiformes,0,7
2004,Falconiformes,0,7
2004,Galliformes,0,7
2004,Gaviiformes,0,7
2004,Gruiformes,1,7
2004,Others,0,7
2004,Passeriformes,3,7
2004,Pelecaniformes,1,7
2004,Phoenicopteriformes,0,7
2004,Piciformes,0,7
2004,Podicipediformes,0,7
2004,Procellariiformes,0,7
2004,Strigiformes,1,7
2004,Suliformes,0,7
2005,Accipitriformes,0,7
2005,Anseriformes,0,7
2005,Caprimulgiformes,0,7
2005,Charadriiformes,1,7
2005,Ciconiiformes,0,7
2005,Columbiformes,0,7
2005,Coraciiformes,0,7
2005,Cuculiformes,0,7
2005,Falconiformes,0,7
2005,Galliformes,0,7
2005,Gaviiformes,0,7
2005,Gruiformes,0,7
2005,Others,0,7
2005,Passeriformes,3,7
2005,Pelecaniformes,0,7
2005,Phoenicopteriformes,0,7
2005,Piciformes,0,7
2005,Podicipediformes,0,7
2005,Procellariiformes,1,7
2005,Strigiformes,2,7
2005,Suliformes,0,7
2006,Accipitriformes,1,49
2006,Anseriformes,2,49
2006,Caprimulgiformes,0,49
2006,Charadriiformes,9,49
2006,Ciconiiformes,0,49
2006,Columbiformes,2,49
2006,Coraciiformes,2,49
2006,Cuculiformes,0,49
2006,Falconiformes,0,49
2006,Galliformes,0,49
2006,Gaviiformes,1,49
2006,Gruiformes,0,49
2006,Others,1,49
2006,Passeriformes,24,49
2006,Pelecaniformes,4,49
2006,Phoenicopteriformes,0,49
2006,Piciformes,1,49
2006,Podicipediformes,0,49
2006,Procellariiformes,1,49
2006,Strigiformes,0,49
2006,Suliformes,1,49
2007,Accipitriformes,2,28
2007,Anseriformes,2,28
2007,Caprimulgiformes,0,28
2007,Charadriiformes,5,28
2007,Ciconiiformes,0,28
2007,Columbiformes,0,28
2007,Coraciiformes,0,28
2007,Cuculiformes,0,28
2007,Falconiformes,0,28
2007,Galliformes,2,28
2007,Gaviiformes,0,28
2007,Gruiformes,1,28
2007,Others,0,28
2007,Passeriformes,15,28
2007,Pelecaniformes,0,28
2007,Phoenicopteriformes,0,28
2007,Piciformes,0,28
2007,Podicipediformes,1,28
2007,Procellariiformes,0,28
2007,Strigiformes,0,28
2007,Suliformes,0,28
2008,Accipitriformes,1,20
2008,Anseriformes,2,20
2008,Caprimulgiformes,0,20
2008,Charadriiformes,2,20
2008,Ciconiiformes,0,20
2008,Columbiformes,0,20
2008,Coraciiformes,1,20
2008,Cuculiformes,0,20
2008,Falconiformes,0,20
2008,Galliformes,0,20
2008,Gaviiformes,0,20
2008,Gruiformes,0,20
2008,Others,0,20
2008,Passeriformes,10,20
2008,Pelecaniformes,1,20
2008,Phoenicopteriformes,0,20
