record_id,species,order,province_raw,year,longitude,latitude,province_std,coordinate_flag
78,Anser caerulescens,Anseriformes,Shandong,2000,118.983333333333,37.7666666666667,Shandong,within_extent
225,Arenaria interpres,Charadriiformes,Xinjiang,2000,83.82097,42.89432,Xinjiang,within_extent
534,Chloris chloris,Passeriformes,Xinjiang,2000,82.27,43.33,Xinjiang,within_extent
745,Napothera malacoptila,Passeriformes,Yunnan,2000,98.34,27.88,Yunnan,within_extent
977,Oroanassa magnifica,Pelecaniformes,Guangdong,2000,114.15,24.9,Guangdong,within_extent
1017,Phoenicopterus roseus,Phoenicopteriformes,Xinjiang,2000,87.9333333333333,43.9833333333333,Xinjiang,within_extent
8,Accipiter trivirgatus,Accipitriformes,Fujian,2001,119.33,25.6,Fujian,within_extent
67,Pernis ptilorhynchus,Accipitriformes,Tianjin,2001,117.82,39.33,Tianjin,within_extent
76,Anser caerulescens,Anseriformes,Jilin,2001,122.074222222222,44.9,Jilin,within_extent
145,Charadrius asiaticus,Charadriiformes,Hubei,2001,94.332486,39.951323,Hubei,within_extent
306,Ciconia boyciana,Ciconiiformes,Tianjin,2001,117.483333333333,38.75,Tianjin,within_extent
419,Rallina fasciata,Gruiformes,Guangdong,2001,114.669444444444,22.4025,Guangdong,within_extent
572,Cutia nipalensis,Passeriformes,Hubei,2001,110.27643,31.299174,Hubei,within_extent
568,Lanius schach,Passeriformes,Tianjin,2001,117,39.14,Tianjin,within_extent
880,Spodiopsar sericeus,Passeriformes,Tianjin,2001,117.31,39.08,Tianjin,within_extent
963,Ardeola bacchus,Pelecaniformes,Xinjiang,2001,83.6666666666667,39.1666666666667,Xinjiang,within_extent
1074,Sula sula,Suliformes,Fujian,2001,116.09428,37.44656,Fujian,within_extent
407,Amaurornis phoenicurus,Gruiformes,Jilin,2002,123.418532374497,46.3862863090179,Jilin,within_extent
403,Grus virgo,Gruiformes,Tianjin,2002,117.41,39.3,Tianjin,within_extent
673,Myophonus caeruleus,Passeriformes,Guangxi,2002,108.26,22.08,Guangxi,within_extent
711,Paradoxornis heudei,Passeriformes,Tianjin,2002,117.61,39.29,Tianjin,within_extent
754,Phylloscopus burkii,Passeriformes,Tianjin,2002,117.21,38.96,Tianjin,within_extent
886,Sturnus vulgaris,Passeriformes,Tianjin,2002,117.19937,39.085099,Tianjin,within_extent
969,Bubulcus ibis,Pelecaniformes,Tianjin,2002,117.4,39.24,Tianjin,within_extent
1046,Athene noctua,Strigiformes,Yunnan,2002,99.26,28.35,Yunnan,within_extent
46,Gyps himalayensis,Accipitriformes,Liaoning,2003,121.02,42.05,Liaoning,within_extent
353,Clamator coromandus,Cuculiformes,Beijing,2003,115.433333333333,39.9666666666667,Beijing,within_extent
349,Centropus bengalensis,Cuculiformes,Hebei,2003,117.304166666667,38.3847222222222,Hebei,within_extent
352,Centropus bengalensis,Cuculiformes,Zhejiang,2003,102.27,30.18,Zhejiang,within_extent
828,Pycnonotus sinensis,Passeriformes,Beijing,2003,116.62,40.36,Beijing,within_extent
675,Niltava grandis,Passeriformes,Guangxi,2003,106.34503,24.516148,Guangxi,within_extent
758,Phylloscopus castaniceps,Passeriformes,Heilongjiang,2003,125.25,49.09,Heilongjiang,within_extent
573,Garrulax canorus,Passeriformes,Liaoning,2003,121.633333333333,38.8666666666667,Liaoning,within_extent
593,Locustella davidi,Passeriformes,Liaoning,2003,121.633333333333,38.8666666666667,Liaoning,within_extent
970,Egretta eulophotes,Pelecaniformes,Guangxi,2003,108.305833333333,21.6741666666667,Guangxi,within_extent
79,Anser erythropus,Anseriformes,Yunnan,2004,100.083333333333,26.7333333333333,Yunnan,within_extent
411,Coturnicops exquisitus,Gruiformes,Yunnan,2004,100.353888888889,25.2958333333333,Yunnan,within_extent
735,Passer cinnamomeus,Passeriformes,Beijing,2004,115.475194444444,39.7685555555556,Beijing,within_extent
699,Aethopyga christinae,Passeriformes,Hubei,2004,110.537333333333,30.0736666666667,Hubei,within_extent
571,Lanius tephronotus,Passeriformes,Xinjiang,2004,75.4027222222222,37.3726388888889,Xinjiang,within_extent
995,Pelecanus onocrotalus,Pelecaniformes,Sichuan,2004,106.089,30.815447,Sichuan,within_extent
1059,Tyto alba,Strigiformes,Guangxi,2004,109.51209,18.25248,Guangxi,within_extent
188,Hydroprogne caspia,Charadriiformes,Yunnan,2005,102.64068,25.00224,Yunnan,within_extent
589,Helopsaltes pleskei,Passeriformes,Guangxi,2005,106.76649,22.09439,Guangxi,within_extent
896,Mixornis gularis,Passeriformes,Guangxi,2005,106.957666666667,22.4744,Guangxi,within_extent
469,Certhia tianquanensis,Passeriformes,Shaanxi,2005,107.8,34.0166666666667,Shaanxi,within_extent
1035,Phoebastria immutabilis,Procellariiformes,Fujian,2005,119.29659,26.09982,Fujian,within_extent
1045,Asio flammeus,Strigiformes,Guangxi,2005,107.07668,22.14016,Guangxi,within_extent
1062,Tyto longimembris,Strigiformes,Hebei,2005,117.5,38.15,Hebei,within_extent
42,Elanus caeruleus,Accipitriformes,Tianjin,2006,117.11,39.17,Tianjin,within_extent
86,Aythya nyroca,Anseriformes,Fujian,2006,119.52324,25.96283,Fujian,within_extent
85,Aythya fuligula,Anseriformes,Hainan,2006,109.17361,18.74986,Hainan,within_extent
184,Gygis alba,Charadriiformes,Fujian,2006,119.73637,25.61351,Fujian,within_extent
193,Larus cachinnans,Charadriiformes,Fujian,2006,119.29659,26.09982,Fujian,within_extent
157,Charadrius placidus,Charadriiformes,Hainan,2006,108.94,18.09,Hainan,within_extent
158,Charadrius veredus,Charadriiformes,Hainan,2006,110.7949011,19.5388959,Hainan,within_extent
195,Larus crassirostris,Charadriiformes,Hainan,2006,109.69077,19.91243,Hainan,within_extent
143,Synthliboramphus antiquus,Charadriiformes,Hainan,2006,110.5865823,19.9672118,Hainan,within_extent
163,Vanellus cinereus,Charadriiformes,Hainan,2006,110.12,19,Hainan,within_extent
166,Vanellus vanellus,Charadriiformes,Hainan,2006,110.5865823,19.9672118,Hainan,within_extent
287,Tringa guttifer,Charadriiformes,Liaoning,2006,124.03,39.82,Liaoning,within_extent
324,Streptopelia decaocto,Columbiformes,Heilongjiang,2006,125.262222222222,49.1,Heilongjiang,within_extent
322,Spilopelia chinensis,Columbiformes,Inner Mongolia,2006,111.724833333333,40.8074166666667,Inner Mongolia,within_extent
331,Alcedo hercules,Coraciiformes,Fujian,2006,117.29652,26.508325,Fujian,within_extent
345,Todiramphus chloris,Coraciiformes,Fujian,2006,119.67,26.01,Fujian,within_extent
381,Gavia adamsii,Gaviiformes,Sichuan,2006,104.28249,30.97706,Sichuan,within_extent
873,Gracupica nigricollis,Passeriformes,Chongqing,2006,106.5,29.51,Chongqing,within_extent
533,Chloris ambigua,Passeriformes,Guangxi,2006,105.19576,24.973891,Guangxi,within_extent
608,Copsychus saularis,Passeriformes,Guangxi,2006,108.3,22.85,Guangxi,within_extent
894,Cyanoderma rufifrons,Passeriformes,Guangxi,2006,106.85455,22.34262,Guangxi,within_extent
907,Otocichla mupinensis,Passeriformes,Guangxi,2006,104.955,24.61493,Guangxi,within_extent
729,Parus monticolus,Passeriformes,Guangxi,2006,106.085,23.36,Guangxi,within_extent
747,Pellorneum tickelli,Passeriformes,Guangxi,2006,106.88,22.35,Guangxi,within_extent
713,Suthora alphonsiana,Passeriformes,Guangxi,2006,105.09383,24.48957,Guangxi,within_extent
535,Chloris sinica,Passeriformes,Hainan,2006,109.7,19.9,Hainan,within_extent
488,Dicrurus hottentottus,Passeriformes,Hainan,2006,110.333333333333,20,Hainan,within_extent
871,Gracupica nigricollis,Passeriformes,Hainan,2006,110.5865823,19.9672118,Hainan,within_extent
822,Pycnonotus aurigaster,Passeriformes,Hainan,2006,110.333333333333,20,Hainan,within_extent
562,Riparia riparia,Passeriformes,Hainan,2006,110.01,19.97,Hainan,within_extent
525,Bucanetes mongolicus,Passeriformes,Heilongjiang,2006,101.06188,41.971086,Heilongjiang,within_extent
862,Sitta villosa,Passeriformes,Heilongjiang,2006,126.66285,45.74208,Heilongjiang,within_extent
471,Cisticola juncidis,Passeriformes,Liaoning,2006,123.619033768175,39.933110384813,Liaoning,within_extent
830,Pycnonotus sinensis,Passeriformes,Liaoning,2006,121.59,38.92,Liaoning,within_extent
833,Pycnonotus sinensis,Passeriformes,Qinghai,2006,101.75,36.63,Qinghai,within_extent
429,Acrocephalus concinens,Passeriformes,Shanghai,2006,121.3973,31.6229,Shanghai,within_extent
590,Helopsaltes pleskei,Passeriformes,Shanghai,2006,121.91,31.52,Shanghai,within_extent
591,Helopsaltes pryeri,Passeriformes,Shanghai,2006,121.3973,31.6229,Shanghai,within_extent
521,Lonchura striata,Passeriformes,Tibet,2006,95.15,29.2333333333333,Xizang,within_extent
514,Emberiza sulphurata,Passeriformes,Zhejiang,2006,122.066666666667,30.5666666666667,Zhejiang,within_extent
753,Phylloscopus borealoides,Passeriformes,Zhejiang,2006,122.066666666667,30.5666666666667,Zhejiang,within_extent
980,Oroanassa magnifica,Pelecaniformes,Hunan,2006,113.64317,28.16378,Hunan,within_extent
961,Ardea intermedia,Pelecaniformes,Liaoning,2006,124.19,39.97,Liaoning,within_extent
971,Egretta eulophotes,Pelecaniformes,Tianjin,2006,117.80577,39.257647,Tianjin,within_extent
983,Oroanassa magnifica,Pelecaniformes,Yunnan,2006,101.55,24.03,Yunnan,within_extent
1025,Picumnus innominatus,Piciformes,Guangxi,2006,106.41769,23.13402,Guangxi,within_extent
1041,Bulweria bulwerii,Procellariiformes,Yunnan,2006,103.23098,22.903222,Yunnan,within_extent
1044,Syrrhaptes paradoxus,Pterocliformes,Guangxi,2006,107.133333333333,22.2,Guangxi,within_extent
1064,Fregata andrewsi,Suliformes,Fujian,2006,119.22736,25.888656,Fujian,within_extent
63,Nisaetus nipalensis,Accipitriformes,Gansu,2007,104.705468,32.929844,Gansu,within_extent
12,Accipiter trivirgatus,Accipitriformes,Shaanxi,2007,107.666666666667,33.55,Shaanxi,within_extent
82,Anser indicus,Anseriformes,Chongqing,2007,106.433333333333,29.8419444444444,Chongqing,within_extent
117,Mareca americana,Anseriformes,Jilin,2007,122.348416666667,45.0541944444444,Jilin,within_extent
295,Stercorarius pomarinus,Charadriiformes,Inner Mongolia,2007,110.01,41.53,Inner Mongolia,within_extent
274,Numenius madagascariensis,Charadriiformes,Shaanxi,2007,107.52,33.19,Shaanxi,within_extent
241,Calidris melanotos,Charadriiformes,Tianjin,2007,117.68,39.11,Tianjin,within_extent
251,Calidris minuta,Charadriiformes,Tianjin,2007,117.7,39.11,Tianjin,within_extent
257,Calidris pugnax,Charadriiformes,Tianjin,2007,117.49,38.46,Tianjin,within_extent
366,Chrysolophus pictus,Galliformes,Shanxi,2007,111.316666666667,34.9666666666667,Shanxi,within_extent
367,Chrysolophus pictus,Galliformes,Sichuan,2007,111.316666666667,34.9666666666667,Sichuan,within_extent
408,Amaurornis phoenicurus,Gruiformes,Jilin,2007,122.335972222222,45.0195,Jilin,within_extent
470,Cisticola exilis,Passeriformes,Hainan,2007,109.106039183255,19.0094632635263,Hainan,within_extent
764,Phylloscopus collybita,Passeriformes,Henan,2007,114.283333333333,32.1,Henan,within_extent
660,Larvivora cyane,Passeriformes,Hunan,2007,113.21,28.2,Hunan,within_extent
