algorithm,mean_auc,mean_tss,mean_threshold,available,species
GAM,0.8620538461538462,0.787,0.004579812721732015,TRUE,Temnurus temnurus
GBM,0.9141384615384615,0.875,7.238887396602932e-4,TRUE,Temnurus temnurus
GLM,0.9421692307692308,0.887,0.005870359893346095,TRUE,Temnurus temnurus
MaxEnt,NA,NA,NA,TRUE,Temnurus temnurus
RF,0.9076615384615384,0.8242307692307693,0.013400000000000054,TRUE,Temnurus temnurus
GAM,0.9414368718592965,0.8386180904522613,0.027495874671486533,TRUE,Anthreptes malacensis
GBM,0.891352858040201,0.7635552763819096,0.005110166522271476,TRUE,Anthreptes malacensis
GLM,0.9421058417085427,0.8395603015075377,0.030581336373630474,TRUE,Anthreptes malacensis
MaxEnt,NA,NA,NA,TRUE,Anthreptes malacensis
RF,0.9259076633165829,0.7748618090452262,0.039666666666666586,TRUE,Anthreptes malacensis
GAM,0.8777445887445887,0.5539999999999999,0.007675950599988566,TRUE,Hemiprocne coronata
GBM,0.7431406926406926,0.5773030303030303,0.010530498653996684,TRUE,Hemiprocne coronata
GLM,0.8709577922077922,0.582,0.07133667167826524,TRUE,Hemiprocne coronata
MaxEnt,NA,NA,NA,TRUE,Hemiprocne coronata
RF,0.7295189393939394,0.4951515151515152,0.017200000000000066,TRUE,Hemiprocne coronata
GAM,0.7688103174603175,0.6103333333333333,0.04774103366297161,TRUE,Vanellus indicus
GBM,0.826068253968254,0.7138888888888889,0.004374979398785708,TRUE,Vanellus indicus
GLM,0.8092269841269841,0.6583333333333333,0.03396306432428136,TRUE,Vanellus indicus
MaxEnt,NA,NA,NA,TRUE,Vanellus indicus
RF,0.7773920634920635,0.6051111111111112,0.020600000000000025,TRUE,Vanellus indicus
GAM,0.7739244704570791,0.3789197324414716,0.06302099369084437,TRUE,Syrmaticus humiae
GBM,0.7368035117056856,0.46191304347826084,0.006179281862304458,TRUE,Syrmaticus humiae
GLM,0.7869821627647715,0.38252842809364546,0.07700419570102754,TRUE,Syrmaticus humiae
MaxEnt,NA,NA,NA,TRUE,Syrmaticus humiae
RF,0.5160373467112598,0.21597101449275366,0.0038000000000000117,TRUE,Syrmaticus humiae
GAM,0.6615416666666667,0.306,0.005428298261017016,TRUE,Phalaropus fulicarius
GBM,0.7600583333333333,0.524,0.0025347965157114954,TRUE,Phalaropus fulicarius
GLM,0.738925,0.347,0.008768939490252987,TRUE,Phalaropus fulicarius
MaxEnt,NA,NA,NA,TRUE,Phalaropus fulicarius
RF,0.537575,0.27,0.007933333333333356,TRUE,Phalaropus fulicarius
GAM,0.6839861111111112,0.11866666666666663,0.043488174722046316,TRUE,Coturnicops exquisitus
GBM,0.6539652777777778,0.12966666666666668,0.006215171482683184,TRUE,Coturnicops exquisitus
GLM,0.7295416666666666,0.1416666666666666,0.018396497184097502,TRUE,Coturnicops exquisitus
MaxEnt,NA,NA,NA,TRUE,Coturnicops exquisitus
RF,0.5843055555555555,0.12822222222222218,0.007400000000000034,TRUE,Coturnicops exquisitus
GAM,0.943384099754009,0.8380132685135311,0.051382507586663816,TRUE,Hirundo smithii
GBM,0.9626556421486294,0.9098807015629937,0.005103480993843277,TRUE,Hirundo smithii
GLM,0.9547246408432938,0.8702359983242006,0.04257245555796988,TRUE,Hirundo smithii
MaxEnt,NA,NA,NA,TRUE,Hirundo smithii
RF,0.9814288160234309,0.936816223435889,0.04223333333333314,TRUE,Hirundo smithii
GAM,0.8512386366131235,0.7353074848444816,0.02615774806226342,TRUE,Gavia pacifica
GBM,0.8527743126953808,0.6840384493114866,0.001463232257545182,TRUE,Gavia pacifica
GLM,0.8175440014172943,0.735179943584884,0.04817680115142834,TRUE,Gavia pacifica
MaxEnt,NA,NA,NA,TRUE,Gavia pacifica
RF,0.8526474472140991,0.6940887005677681,0.04045833333333325,TRUE,Gavia pacifica
GAM,0.7270142857142857,0.4748571428571428,0.009484513964562648,TRUE,Cyornis rubeculoides
GBM,0.6372714285714285,0.4047142857142857,0.0028454848189543944,TRUE,Cyornis rubeculoides
GLM,0.8004285714285715,0.5858571428571429,0.026138032057896367,TRUE,Cyornis rubeculoides
MaxEnt,NA,NA,NA,TRUE,Cyornis rubeculoides
RF,0.6369750000000001,0.42771428571428577,0.02003333333333336,TRUE,Cyornis rubeculoides
GAM,0.7916474358974359,0.588,0.01857603817010402,TRUE,Lophotriorchis kienerii
GBM,0.7683948717948718,0.571,0.0034908243354112617,TRUE,Lophotriorchis kienerii
GLM,0.7569974358974358,0.598,0.019417335189670894,TRUE,Lophotriorchis kienerii
MaxEnt,NA,NA,NA,TRUE,Lophotriorchis kienerii
RF,0.6591,0.431,0.01400000000000002,TRUE,Lophotriorchis kienerii
GAM,0.8488012974083766,0.74580945258272,0.02982369772408343,TRUE,Ficedula owstoni
GBM,0.9089702439757359,0.7999811130377592,0.00862340750305884,TRUE,Ficedula owstoni
GLM,0.8781990084132286,0.7753108799585813,0.03037490708180334,TRUE,Ficedula owstoni
MaxEnt,NA,NA,NA,TRUE,Ficedula owstoni
RF,0.9050237724280042,0.8076936971315566,0.036133333333333344,TRUE,Ficedula owstoni
GAM,0.7461758762719068,0.5316946673666841,0.020107660077333524,TRUE,Grus canadensis
