record_type,species,shp_species,order_occurrence,family_occurrence,longitude,latitude,cell_id,points_used_csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.82184,18.70464,1236456,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.90687,18.72969,1234980,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.85458,18.74831,1234979,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.87113,18.68252,1236457,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,109.69706,18.90788,1229087,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,109.50783,18.23136,1252731,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.92768,18.75603,1233503,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,109.26432,19.72171,1199517,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,雀形目,鸦科,108.8803,18.75194,1233502,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.849671,18.752161,1233501,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.88451,18.611448,1239414,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.925868,18.748668,1234981,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.886552,18.68571,1236458,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.88023,18.692293,1236482,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.926452,18.699194,1236459,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,109.133587,18.686161,1236464,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
occurrence_point_used_for_modeling,Temnurus temnurus,Temnurus temnurus,NA,NA,108.82406,18.711946,1234978,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/points_used/temnurus_temnurus_points_used.csv
