scenario,res_minutes,target_name,path,source,readable,checked_at
current,2.5,wc2.1_2.5m_bio_1.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_1.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_10.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_10.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_11.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_11.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_12.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_12.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_13.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_13.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_14.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_14.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_15.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_15.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_16.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_16.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_17.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_17.tif,scan_existing,TRUE,2026-03-24 09:40:20
current,2.5,wc2.1_2.5m_bio_18.tif,/private/var/folders/tw/4nyh8k3x205_5vnh584cjkb00000gn/T/Rtmp3JhXGb/bird_sdm_climate_scan/wc2.1_2.5m/wc2.1_2.5m_bio_18.tif,scan_existing,TRUE,2026-03-24 09:40:20
