species,scenario,gcm,raster_type,raster_path
Pnoepyga immaculata,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/pnoepyga_immaculata/pnoepyga_immaculata_current_probability.tif
Pnoepyga immaculata,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/pnoepyga_immaculata/pnoepyga_immaculata_current_binary.tif
Melanitta fusca,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/melanitta_fusca/melanitta_fusca_current_probability.tif
Melanitta fusca,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/melanitta_fusca/melanitta_fusca_current_binary.tif
Stercorarius parasiticus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/stercorarius_parasiticus/stercorarius_parasiticus_current_probability.tif
Stercorarius parasiticus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/stercorarius_parasiticus/stercorarius_parasiticus_current_binary.tif
Anous stolidus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/anous_stolidus/anous_stolidus_current_probability.tif
Anous stolidus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/anous_stolidus/anous_stolidus_current_binary.tif
Helopsaltes pleskei,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/helopsaltes_pleskei/helopsaltes_pleskei_current_probability.tif
Helopsaltes pleskei,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/helopsaltes_pleskei/helopsaltes_pleskei_current_binary.tif
Leptoptilos javanicus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/leptoptilos_javanicus/leptoptilos_javanicus_current_probability.tif
Leptoptilos javanicus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/leptoptilos_javanicus/leptoptilos_javanicus_current_binary.tif
Stercorarius pomarinus,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/stercorarius_pomarinus/stercorarius_pomarinus_current_probability.tif
Stercorarius pomarinus,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/stercorarius_pomarinus/stercorarius_pomarinus_current_binary.tif
Harpactes wardi,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/harpactes_wardi/harpactes_wardi_current_probability.tif
Harpactes wardi,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/harpactes_wardi/harpactes_wardi_current_binary.tif
Ardenna pacifica,current,ensemble_mean,probability,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/ardenna_pacifica/ardenna_pacifica_current_probability.tif
Ardenna pacifica,current,ensemble_mean,binary,tasks/bird_sdm_distribution_modeling_rescue_1980_2025_gbif/data/rasters/ardenna_pacifica/ardenna_pacifica_current_binary.tif
