species,algorithm,fold,available,auc,tss,threshold
Temnurus temnurus,GLM,1,TRUE,0.845,0.8,1.810856692844286e-5
Temnurus temnurus,GLM,2,TRUE,0.9788461538461538,0.905,0.014969065446428346
Temnurus temnurus,GLM,3,TRUE,0.977,0.9199999999999999,0.003615434269425331
Temnurus temnurus,GLM,4,TRUE,0.945,0.905,0.003400344028000223
Temnurus temnurus,GLM,5,TRUE,0.965,0.905,0.007348847155948135
Temnurus temnurus,GAM,1,TRUE,0.825,0.8,1.2124216824242503e-5
Temnurus temnurus,GAM,2,TRUE,0.9707692307692307,0.905,0.018209177545159952
Temnurus temnurus,GAM,3,TRUE,0.832,0.77,3.073018151408758e-7
Temnurus temnurus,GAM,4,TRUE,0.905,0.905,0.004639552639374902
Temnurus temnurus,GAM,5,TRUE,0.7775,0.5550000000000002,3.7901905485837666e-5
Temnurus temnurus,GBM,1,TRUE,0.8599999999999999,0.8500000000000001,3.350407432958305e-4
Temnurus temnurus,GBM,2,TRUE,0.9476923076923076,0.905,5.890528271826974e-4
Temnurus temnurus,GBM,3,TRUE,0.953,0.9199999999999999,0.0011103831108684546
Temnurus temnurus,GBM,4,TRUE,0.91,0.905,9.4077052388459e-4
Temnurus temnurus,GBM,5,TRUE,0.9,0.7949999999999999,6.441964930698935e-4
Temnurus temnurus,RF,1,TRUE,0.8725,0.845,0.006666666666666667
Temnurus temnurus,RF,2,TRUE,0.9048076923076923,0.7211538461538463,0.006666666666666667
Temnurus temnurus,RF,3,TRUE,0.846,0.7150000000000001,0.017333333333333485
Temnurus temnurus,RF,4,TRUE,0.9624999999999999,0.935,0.023333333333333334
Temnurus temnurus,RF,5,TRUE,0.9525,0.905,0.013000000000000114
Temnurus temnurus,MaxEnt,1,TRUE,NA,NA,NA
Temnurus temnurus,MaxEnt,2,TRUE,NA,NA,NA
Temnurus temnurus,MaxEnt,3,TRUE,NA,NA,NA
Temnurus temnurus,MaxEnt,4,TRUE,NA,NA,NA
Temnurus temnurus,MaxEnt,5,TRUE,NA,NA,NA
Anthreptes malacensis,GLM,1,TRUE,1,0.9698492462311559,0.044491873075439343
Anthreptes malacensis,GLM,2,TRUE,0.83375,0.71,0.014915639941654193
Anthreptes malacensis,GLM,3,TRUE,0.9359296482412061,0.7135678391959799,7.498244860195747e-4
Anthreptes malacensis,GLM,4,TRUE,NA,NA,NA
Anthreptes malacensis,GLM,5,TRUE,0.9987437185929648,0.964824120603015,0.06216800799140879
Anthreptes malacensis,GAM,1,TRUE,1,0.9698492462311559,0.03712991587435599
Anthreptes malacensis,GAM,2,TRUE,0.86625,0.71,0.0066425909963256325
Anthreptes malacensis,GAM,3,TRUE,0.9007537688442211,0.7097989949748744,0.014690224929256552
Anthreptes malacensis,GAM,4,TRUE,NA,NA,NA
Anthreptes malacensis,GAM,5,TRUE,0.9987437185929648,0.964824120603015,0.051520766886007964
Anthreptes malacensis,GBM,1,TRUE,1,0.9698492462311559,0.012662255748396904
Anthreptes malacensis,GBM,2,TRUE,0.8581249999999999,0.71,3.474996174889417e-5
Anthreptes malacensis,GBM,3,TRUE,0.7085427135678392,0.4095477386934674,4.1851605959725434e-4
Anthreptes malacensis,GBM,4,TRUE,NA,NA,NA
Anthreptes malacensis,GBM,5,TRUE,0.9987437185929648,0.964824120603015,0.007325144319342853
Anthreptes malacensis,RF,1,TRUE,1,0.9698492462311559,0.05466666666666659
Anthreptes malacensis,RF,2,TRUE,0.8525,0.71,0.03799999999999992
Anthreptes malacensis,RF,3,TRUE,0.8548994974874371,0.4547738693467336,0.00966666666666659
Anthreptes malacensis,RF,4,TRUE,NA,NA,NA
Anthreptes malacensis,RF,5,TRUE,0.9962311557788944,0.964824120603015,0.05633333333333325
Anthreptes malacensis,MaxEnt,1,TRUE,NA,NA,NA
Anthreptes malacensis,MaxEnt,2,TRUE,NA,NA,NA
Anthreptes malacensis,MaxEnt,3,TRUE,NA,NA,NA
Anthreptes malacensis,MaxEnt,4,TRUE,NA,NA,NA
Anthreptes malacensis,MaxEnt,5,TRUE,NA,NA,NA
Hemiprocne coronata,GLM,1,TRUE,0.585,0.3999999999999999,3.3909749697760784e-4
Hemiprocne coronata,GLM,2,TRUE,0.995,-0.05500000000000005,0.23908996512454528
Hemiprocne coronata,GLM,3,TRUE,0.9278571428571428,0.825,0.019558221990586898
Hemiprocne coronata,GLM,4,TRUE,0.91875,0.845,0.04302484830202692
Hemiprocne coronata,GLM,5,TRUE,0.9281818181818182,0.895,0.054671225477189514
Hemiprocne coronata,GAM,1,TRUE,0.8,0.19999999999999996,3.700538717664951e-11
Hemiprocne coronata,GAM,2,TRUE,0.755,0,2.2204460492503126e-16
Hemiprocne coronata,GAM,3,TRUE,0.9735714285714285,0.8799999999999999,0.01714549414361998
Hemiprocne coronata,GAM,4,TRUE,0.8983333333333333,0.7949999999999999,0.005662610293827773
Hemiprocne coronata,GAM,5,TRUE,0.9618181818181818,0.895,0.015571648525489465
Hemiprocne coronata,GBM,1,TRUE,0.6125,0.41999999999999993,7.57673703874283e-4
Hemiprocne coronata,GBM,2,TRUE,0.44,0.27,0.0011426633905612727
Hemiprocne coronata,GBM,3,TRUE,0.9821428571428571,0.9300000000000002,0.007674021495425352
Hemiprocne coronata,GBM,4,TRUE,0.7833333333333333,0.4583333333333335,5.705443286449427e-4
Hemiprocne coronata,GBM,5,TRUE,0.8977272727272727,0.8081818181818181,0.042507590351477574
Hemiprocne coronata,RF,1,TRUE,0.415,0,0
Hemiprocne coronata,RF,2,TRUE,0.4125,0,0
Hemiprocne coronata,RF,3,TRUE,0.985,0.9300000000000002,0.046000000000000235
Hemiprocne coronata,RF,4,TRUE,0.8589583333333333,0.6916666666666667,0.0033333333333333335
Hemiprocne coronata,RF,5,TRUE,0.9761363636363636,0.854090909090909,0.036666666666666764
Hemiprocne coronata,MaxEnt,1,TRUE,NA,NA,NA
Hemiprocne coronata,MaxEnt,2,TRUE,NA,NA,NA
Hemiprocne coronata,MaxEnt,3,TRUE,NA,NA,NA
Hemiprocne coronata,MaxEnt,4,TRUE,NA,NA,NA
Hemiprocne coronata,MaxEnt,5,TRUE,NA,NA,NA
Vanellus indicus,GLM,1,TRUE,0.9828571428571429,0.9300000000000002,0.10196901190553831
Vanellus indicus,GLM,2,TRUE,0.615,0.3500000000000001,0.0013675347372983215
Vanellus indicus,GLM,3,TRUE,0.5577777777777777,0.2766666666666666,3.352172926692561e-4
Vanellus indicus,GLM,4,TRUE,0.935,0.855,0.022041224152702717
Vanellus indicus,GLM,5,TRUE,0.9555,0.8799999999999999,0.04410233353319819
Vanellus indicus,GAM,1,TRUE,0.9878571428571429,0.98,0.1546145347271044
Vanellus indicus,GAM,2,TRUE,0.3525,0,2.2204460492503126e-16
Vanellus indicus,GAM,3,TRUE,0.6444444444444445,0.3816666666666666,4.720346136342828e-4
Vanellus indicus,GAM,4,TRUE,0.8775,0.7549999999999999,0.004900530759090463
Vanellus indicus,GAM,5,TRUE,0.98175,0.935,0.07871806821502869
Vanellus indicus,GBM,1,TRUE,0.9542857142857143,0.8799999999999999,0.0025160545060036094
Vanellus indicus,GBM,2,TRUE,0.7275,0.7,4.666268018652683e-4
Vanellus indicus,GBM,3,TRUE,0.5455555555555555,0.19944444444444454,3.4257177772277687e-4
Vanellus indicus,GBM,4,TRUE,0.9175,0.855,0.005968996799137346
Vanellus indicus,GBM,5,TRUE,0.9855,0.935,0.012580647109199539
