record_type,species,match_status,model_status,skip_reason,scenario,gcm,province,cell_threshold,suitable_cell_count,suitable_area_km2,province_total_area_km2,suitable_area_prop_of_species,suitable_area_prop_of_province,presence_flag
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,50,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,50,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,50,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,50,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,50,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,50,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,50,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,50,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,50,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,100,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,100,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,100,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,100,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,100,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,100,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,100,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,100,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,100,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,100,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,100,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,100,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,100,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,上海市,200,329,6040.110062147133,7206.952766383157,0,0.8380948589424974,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,安徽省,200,338,6215.436409953057,140281.72378677767,0,0.044306815187132,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广东省,200,269,5354.621842694213,178715.97296891178,0,0.029961629918919822,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,200,752,14764.821910377661,236490.79679029615,0,0.06243296614823491,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,200,6055,94344.05591282822,1630319.3783117495,0,0.05786845029746543,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江苏省,200,683,12502.687072897259,102736.86676680206,0,0.12169620766493262,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,江西省,200,1273,24132.900462000438,167050.58408785737,0,0.14446462784774314,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,浙江省,200,1136,21101.88891824359,104159.37596561894,0,0.20259231319904344,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,海南省,200,273,5519.9756918727235,40083.43316462411,0,0.13771214828834605,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖北省,200,2365,43795.97760961852,185936.23455607134,0,0.23554299523265493,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,湖南省,200,4363,82693.60020343562,212031.06107909585,0,0.39000701021152595,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,福建省,200,623,12098.519852571224,122484.33467498337,0,0.09877605887050851,TRUE
potential_province,Anous stolidus,matched,modeled,NA,current,ensemble_mean,重庆市,200,265,4944.702654168918,82424.43806740544,0,0.059990735394825696,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,3,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,3,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广东省,3,62,1226.106125764519,178715.97296891178,0,0.006860640967877024,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,3,63,1244.173877318387,236490.79679029615,0,0.005260982220892237,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,3,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,3,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,3,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,10,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,10,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广东省,10,62,1226.106125764519,178715.97296891178,0,0.006860640967877024,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,10,63,1244.173877318387,236490.79679029615,0,0.005260982220892237,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,10,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,10,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,10,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,20,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,20,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广东省,20,62,1226.106125764519,178715.97296891178,0,0.006860640967877024,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,20,63,1244.173877318387,236490.79679029615,0,0.005260982220892237,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,20,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,20,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,20,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,50,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,50,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广东省,50,62,1226.106125764519,178715.97296891178,0,0.006860640967877024,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,50,63,1244.173877318387,236490.79679029615,0,0.005260982220892237,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,50,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,50,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,50,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,100,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,100,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,100,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,100,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,100,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,云南省,200,1174,23268.270066407167,383270.9646060982,0,0.060709712488450134,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,台湾省,200,814,15984.521860878669,36351.44194848129,0,0.43972181030762325,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,200,1770,28555.851814854,1630319.3783117495,0,0.0175154955493595,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,海南省,200,587,11884.890358816328,40083.43316462411,0,0.2965038027058374,TRUE
potential_province,Anthreptes malacensis,matched,modeled,NA,current,ensemble_mean,西藏自治区,200,449,8525.603358443163,1202248.13359162,0,0.0070913841496044626,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,上海市,3,309,5672.306379902622,7206.952766383157,0.014493298850566171,0.7870602963240032,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,云南省,3,7210,138846.80928153257,383270.9646060982,0.014493298850566171,0.36226800906828566,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,内蒙古自治区,3,518,8737.826013192582,1145885.244530134,0.014493298850566171,0.007625393602808365,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,台湾省,3,746,14603.787004928996,36351.44194848129,0.014493298850566171,0.40173886432417355,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,四川省,3,15917,292344.5764917104,485830.5974072148,0.014493298850566171,0.6017417965272208,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,宁夏回族自治区,3,1832,31532.0978396254,51983.14077447038,0.014493298850566171,0.6065831608064597,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山东省,3,108,1848.4687431210248,155733.4041517852,0.014493298850566171,0.011869442867372366,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山西省,3,2728,47273.02426338446,156665.6384184655,0.014493298850566171,0.30174468850096353,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广东省,3,5091,100502.28551913226,178715.97296891178,0.014493298850566171,0.5623575993211024,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,3,3281,64733.208803892296,236490.79679029615,0.014493298850566171,0.27372400821708626,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,3,33053,550775.3209197888,1630319.3783117495,0.014493298850566171,0.3378327757412386,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江苏省,3,128,2342.596199161931,102736.86676680206,0.014493298850566171,0.022801904251949674,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江西省,3,488,9395.875693737393,167050.58408785737,0.014493298850566171,0.0562456919563705,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河北省,3,5,83.840973180336,187988.30824291415,0.014493298850566171,4.4599035952809697e-4,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河南省,3,3061,54383.86922981919,165591.59008387194,0.014493298850566171,0.32842168616337236,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,浙江省,3,535,9966.722316773543,104159.37596561894,0.014493298850566171,0.09568723146021316,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,海南省,3,1653,33407.57346558376,40083.43316462411,0.014493298850566171,0.8334509004849371,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖北省,3,1807,32896.697025643385,185936.23455607134,0.014493298850566171,0.17692461667939707,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖南省,3,1253,23996.620062662198,212031.06107909585,0.014493298850566171,0.1131750222846384,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,甘肃省,3,17783,305532.80632066727,425531.4817733489,0.014493298850566171,0.7180028256602726,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,福建省,3,966,18775.669325977757,122484.33467498337,0.014493298850566171,0.15329037281216146,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,西藏自治区,3,63124,1152029.456379907,1202248.13359162,0.014493298850566171,0.9582293573110496,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,贵州省,3,3,57.13049500095177,175983.61368899362,0.014493298850566171,3.246353100915147e-4,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,重庆市,3,71,1293.3241990803117,82424.43806740544,0.014493298850566171,0.015691028406194907,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,陕西省,3,8672,153612.1233543805,205650.2106262032,0.014493298850566171,0.7469582593017186,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,青海省,3,39968,696711.8656031291,696799.7448540932,0.014493298850566171,0.9998738816257999,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,香港特别行政区,3,50,989.9291175841201,1081.5917495829606,0.014493298850566171,0.9152520976290882,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,上海市,10,309,5672.306379902622,7206.952766383157,0.014493843368177849,0.7870602963240032,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,云南省,10,7210,138846.80928153257,383270.9646060982,0.014493843368177849,0.36226800906828566,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,内蒙古自治区,10,518,8737.826013192582,1145885.244530134,0.014493843368177849,0.007625393602808365,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,台湾省,10,746,14603.787004928996,36351.44194848129,0.014493843368177849,0.40173886432417355,TRUE
