species,record_count_new_record,first_year,provinces_recorded,new_record_order,previous_match_status,previous_model_status,previous_skip_reason
Phalaropus fulicarius,4,2011,Beijing | Hainan | Henan | Sichuan,Charadriiformes,matched,skipped,insufficient_occurrence_points
Phoebastria immutabilis,1,2005,Fujian,Procellariiformes,unmatched,unmatched,taxonomy_unmatched
Pitta brachyura,1,2025,Sichuan,NA,unmatched,unmatched,taxonomy_unmatched
Pitta moluccensis,1,2017,Hainan,Passeriformes,matched,skipped,insufficient_occurrence_points
Pitta sordida,1,2007,Sichuan,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Pluvialis apricaria,1,2021,Shandong,Charadriiformes,matched,skipped,insufficient_occurrence_points
Pnoepyga immaculata,1,2010,Tibet,Passeriformes,matched,skipped,insufficient_occurrence_points
Porphyrio porphyrio,1,2013,Yunnan,NA,unmatched,unmatched,taxonomy_unmatched
Psilopogon faiostrictus,2,2008,Guangxi | Yunnan,Piciformes,matched,skipped,insufficient_occurrence_points
Pterorhinus gularis,1,2007,Yunnan,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Pycnonotus blanfordi,1,2023,Yunnan,NA,unmatched,unmatched,taxonomy_unmatched
Pycnonotus goiavier,1,2020,Yunnan,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Rallina fasciata,2,2001,Guangdong | Yunnan,Gruiformes,matched,skipped,insufficient_occurrence_points
Remiz pendulinus,1,2024,Xinjiang,NA,unmatched,unmatched,taxonomy_unmatched
Saxicola rubetra,1,2023,Xinjiang,NA,matched,skipped,insufficient_occurrence_points
Stercorarius longicaudus,1,2019,Jiangsu,Charadriiformes,matched,skipped,insufficient_occurrence_points
Stercorarius parasiticus,5,2017,Hunan | Inner Mongolia | Sichuan | Tibet | Yunnan,Charadriiformes,matched,skipped,insufficient_occurrence_points
Stercorarius pomarinus,1,2007,Inner Mongolia,Charadriiformes,matched,skipped,insufficient_occurrence_points
Sturnia pagodarum,1,2023,Xinjiang,Passeriformes,matched,skipped,insufficient_occurrence_points
Sula dactylatra,2,2021,Guangdong | Zhejiang,Suliformes,matched,skipped,insufficient_occurrence_points
Sula granti,1,2025,Taiwan,NA,unmatched,unmatched,taxonomy_unmatched
Sula sula,4,2001,Fujian | Hebei | Jiangsu | Zhejiang,Suliformes,matched,skipped,insufficient_occurrence_points
Suthora alphonsiana,1,2006,Guangxi,NA,unmatched,unmatched,taxonomy_unmatched
Suthora conspicillata,1,2011,Hunan,NA,unmatched,unmatched,taxonomy_unmatched
Suthora przewalskii,1,2007,Sichuan,NA,unmatched,unmatched,taxonomy_unmatched
Suthora webbiana,1,2024,Qinghai,NA,unmatched,unmatched,taxonomy_unmatched
Sylvia atricapilla,1,2013,Xinjiang,Passeriformes,unmatched,unmatched,taxonomy_unmatched
Sylviparus modestus,1,2025,Gansu,Passeriformes,matched,failed,runtime_error
Synthliboramphus antiquus,1,2006,Hainan,Charadriiformes,matched,skipped,insufficient_occurrence_points
Syrmaticus humiae,1,2022,Yunnan,Galliformes,matched,skipped,insufficient_occurrence_points
Temnurus temnurus,1,2022,Guangdong,Passeriformes,matched,skipped,insufficient_occurrence_points
Thalasseus bengalensis,2,2018,Guangxi | Hebei,Charadriiformes,matched,skipped,insufficient_occurrence_points
Todiramphus chloris,1,2006,Fujian,Coraciiformes,matched,skipped,insufficient_occurrence_points
Treron seimundi,1,2022,Yunnan,Columbiformes,unmatched,unmatched,taxonomy_unmatched
Turdus migratorius,1,2024,Heilongjiang,NA,matched,skipped,insufficient_occurrence_points
Tyto alba,3,2004,Guangxi | Hainan | Tibet,NA,unmatched,unmatched,taxonomy_unmatched
Vanellus indicus,1,2019,Chongqing,Charadriiformes,matched,skipped,insufficient_occurrence_points
Vanellus leucurus,1,2012,Xinjiang,Charadriiformes,matched,skipped,insufficient_occurrence_points
Zosterops meyeni,1,2024,Hubei,Passeriformes,matched,skipped,insufficient_occurrence_points
