species,order_occurrence,family_occurrence,longitude,latitude
Hypsipetes castanonotus,PASSERIFORMES,Pycnonotidae,109.53196,18.37352
Niltara davidi,PASSERIFORMES,Muscicapidae,109.53196,18.37352
Pitta nympha,PASSERIFORMES,Pittidae,109.14285,18.42302
Arborophila ardens,GALLIFORMES,Phasianidae,110.01667,18.5
Arborophila ardens,GALLIFORMES,Phasianidae,110.01667,18.5
Arborophila ardens,GALLIFORMES,Phasianidae,110.01667,18.5
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.01667,18.5
Gallus gallus,GALLIFORMES,Phasianidae,110.01667,18.5
Arborophila rufipectus,GALLIFORMES,Phasianidae,109.42589,18.50173
Gorsachius magnificus,CICONIIFORMES,Ardeidae,109.42589,18.50173
Arborophila ardens,GALLIFORMES,Phasianidae,110.13333,18.55
Arborophila ardens,GALLIFORMES,Phasianidae,110.13333,18.55
Gallus gallus,GALLIFORMES,Phasianidae,109.7,18.6
Lophura nycthemera,GALLIFORMES,Phasianidae,108.9,18.625
Arborophila ardens,GALLIFORMES,Phasianidae,109.68333,18.63333
Francolinus pintadeanus,GALLIFORMES,Phasianidae,109.68333,18.63333
Gallus gallus,GALLIFORMES,Phasianidae,109.68333,18.63333
Lophura nycthemera,GALLIFORMES,Phasianidae,109.68333,18.63333
Arborophila ardens,GALLIFORMES,Phasianidae,108.8,18.7
Gallus gallus,GALLIFORMES,Phasianidae,108.8,18.7
Polyplectron katsumatae,GALLIFORMES,Phasianidae,108.8,18.7
Gallus gallus,GALLIFORMES,Phasianidae,108.86667,18.7
Polyplectron katsumatae,GALLIFORMES,Phasianidae,108.86667,18.7
Arborophila ardens,GALLIFORMES,Phasianidae,109.1,18.7
Francolinus pintadeanus,GALLIFORMES,Phasianidae,109.1,18.7
Gallus gallus,GALLIFORMES,Phasianidae,109.1,18.7
Gallus gallus,GALLIFORMES,Phasianidae,109.1,18.7
Lophura nycthemera,GALLIFORMES,Phasianidae,109.5,18.7
Polyplectron katsumatae,GALLIFORMES,Phasianidae,109.8,18.7
Gorsachius magnificus,CICONIIFORMES,Ardeidae,108.96286,18.71034
Hypsipetes castanonotus,PASSERIFORMES,Pycnonotidae,108.96286,18.71034
Arborophila ardens,GALLIFORMES,Phasianidae,109.78333,18.71667
Arborophila ardens,GALLIFORMES,Phasianidae,109.16667,18.73333
Arborophila ardens,GALLIFORMES,Phasianidae,109.16667,18.73333
Polyplectron katsumatae,GALLIFORMES,Phasianidae,110.05,18.73333
Gorsachius magnificus,CICONIIFORMES,Ardeidae,108.84199,18.75992
Arborophila ardens,GALLIFORMES,Phasianidae,110.3,18.8
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.3,18.8
Gallus gallus,GALLIFORMES,Phasianidae,110.3,18.8
Gallus gallus,GALLIFORMES,Phasianidae,110.3,18.8
Lophura nycthemera,GALLIFORMES,Phasianidae,110.3,18.8
Arborophila ardens,GALLIFORMES,Phasianidae,110.4,18.8
Arborophila ardens,GALLIFORMES,Phasianidae,110.33333,18.83333
Lophura nycthemera,GALLIFORMES,Phasianidae,109.88333,18.84167
Gallus gallus,GALLIFORMES,Phasianidae,109.66667,18.86667
Garrulax canorus,PASSERIFORMES,Sylviidae,109.67252,18.87985
Niltara hainana,PASSERIFORMES,Muscicapidae,109.67252,18.87985
Gallus gallus,GALLIFORMES,Phasianidae,109,18.88333
Lophura nycthemera,GALLIFORMES,Phasianidae,109.6,18.9
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,18.9
Arborophila ardens,GALLIFORMES,Phasianidae,109.7,18.9
