"term","estimate","std.error","statistic","p.value","conf.low","conf.high","predictor"
"z_hist_report_density",0.0735151888454888,0.135937723484091,0.54080050012087,0.593431430140716,-0.192922749183329,0.339953126874307,"Historical survey effort"
"z_curr_user_density",0.492390070328794,0.195199497878866,2.52249660311295,0.0183886940119388,0.109799054486216,0.874981086171372,"Current user effort"
"z_gdp_per_capita",0.102083553792896,0.202038778700804,0.505267129653709,0.617796853790731,-0.293912452460679,0.498079560046471,"Per capita GDP"
"z_area_km2",-0.578444744002117,0.122003087355729,-4.74123037817497,7.28619237078993e-05,-0.817570795219347,-0.339318692784888,"Area"
"z_habitat_heterogeneity",-0.036646743053247,0.123320476562611,-0.297166732360469,0.768794412703406,-0.278354877115964,0.205061391009471,"Habitat heterogeneity"
