"term","predictor","Primary report-effort","Alternative user-effort","Influence-filtered","delta_user_minus_primary","delta_influence_minus_primary"
"z_hist_report_density","Historical survey effort",0.0629865524291349,0.0735151888454888,3.04144132724123,0.010528636416354,2.9784547748121
"z_curr_report_density","Current survey effort",0.449144032194964,NA,0.606926627535379,NA,0.157782595340415
"z_gdp_per_capita","Per capita GDP",0.135965165316477,0.102083553792896,-0.0438213989400967,-0.0338816115235813,-0.179786564256574
"z_area_km2","Area",-0.589067799160688,-0.578444744002117,-0.591109178050605,0.0106230551585704,-0.00204137888991707
"z_habitat_heterogeneity","Habitat heterogeneity",-0.0473539579366085,-0.036646743053247,0.0635451639294058,0.0107072148833616,0.110899121866014
"z_curr_user_density","Current user effort",NA,0.492390070328794,NA,NA,NA
