"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","model"
"b_Intercept",-0.450347192462675,-0.456164865,0.383559066762602,0.350599895814,-1.085106275,0.19087768,1.00171258627753,3762.77953056958,2493.74418066913,"Continuous phylogenetic"
"b_z_log_mass",0.0454369778122663,0.045122237,0.151364579078459,0.1486612478988,-0.2056695125,0.2878138505,0.999915108675776,3410.07032742876,2790.32834118852,"Continuous phylogenetic"
"b_z_log_hwi",-0.0844377345928239,-0.082239495,0.13924563481691,0.138622262331,-0.319811507,0.138017489,1.0011064638181,5988.09426500647,3523.36528495951,"Continuous phylogenetic"
"b_z_log_range_provinces",0.5511342848375,0.54800644,0.0986440140822091,0.098222805975,0.393017578,0.716311378,1.0010501805704,4773.29332370477,3131.38806309081,"Continuous phylogenetic"
"b_z_log_clutch_size",-0.18892009562999,-0.186850605,0.118242428448139,0.11713414734,-0.3867673365,0.000707939128999896,1.00082335078939,3724.62593367902,3084.19065984815,"Continuous phylogenetic"
"b_z_log_n_congeners",0.0452176626079527,0.04768658,0.0932857111247289,0.0916923888594,-0.1085007965,0.1965039375,1.00015300104034,4890.29442110406,3163.37601707486,"Continuous phylogenetic"
"sd_phylo_species__Intercept",0.94304023498,0.92600656,0.292845387309661,0.283744228236,0.494474813,1.441441995,1.00681761884971,563.605013776156,1279.26409778558,"Continuous phylogenetic"
"b_Intercept",-0.98993578948315,-0.98921043,0.370389156051719,0.340690864584,-1.60257828,-0.370571193,1.00041618516062,3413.08434759157,2429.72433242797,"Categorical phylogenetic"
"b_endemic_statusEndemic",-0.231209200660138,-0.22918587,0.375708495585889,0.3761010746787,-0.8449306225,0.3873959725,1.00106113507709,8205.41124065515,2970.43679250882,"Categorical phylogenetic"
"b_migration_class_avPartial_migrant",0.426788081037975,0.429322285,0.219686322535737,0.222644236248,0.06636922525,0.7794854335,1.00133167731948,4949.40964899356,3180.00937425537,"Categorical phylogenetic"
"b_migration_class_avLong_distance_migrant",0.519911518521475,0.515395145,0.19148554173376,0.181990150755,0.2028027325,0.8428973755,1.00051440057812,4384.29265869437,2940.06485677418,"Categorical phylogenetic"
"b_diet_group_avOmnivore",0.28070136943553,0.276988575,0.232896793031839,0.224680031373,-0.09555675845,0.674551948,1.00125066481577,4881.17860485868,3365.48398027606,"Categorical phylogenetic"
"b_diet_group_avFruit_nectar",-0.373108059193436,-0.36609557,0.434337451374125,0.4289503954428,-1.098530555,0.3216274775,1.00027574905619,7824.92460760184,2742.90609196282,"Categorical phylogenetic"
"b_diet_group_avPlant_seed",0.0612966063127053,0.0495375565,0.30781266259139,0.304946067993,-0.4350348355,0.565329714,1.00123817617283,4761.93014514365,3329.65309109586,"Categorical phylogenetic"
"b_diet_group_avVertebrate_aquatic",0.392552252005267,0.394696625,0.266278077658875,0.258436060911,-0.04801808535,0.8267640715,1.00119613300768,4040.50312983932,3219.19407540522,"Categorical phylogenetic"
"b_forest_associationForest_primary",0.319032729922902,0.31563552,0.188425505286315,0.184509436566,0.01628505785,0.636541119,1.00053741419465,5342.70433077891,3014.1294282974,"Categorical phylogenetic"
"sd_phylo_species__Intercept",0.7522994038015,0.741777555,0.267837492263297,0.265284116181,0.3354935595,1.19517577,1.00711080115916,763.595023168409,1047.16709347527,"Categorical phylogenetic"
