"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group"
"Merops ornatus","Coraciiformes",0,0,29.5,"3","Carnivore",-25.32,135.56,"V",1,"LC",1.46982201597816,"Full migrant","LC","LC/NE"
"Merops persicus","Coraciiformes",0,0,49.3,"3","Carnivore",34.61,52.22,"V",1,"LC",1.69284691927723,"Full migrant","LC","LC/NE"
"Merops philippinus","Coraciiformes",1,1,34,"3","Carnivore",18.69,100.21,"S",8,"LC",1.53147891704226,"Full migrant","LC","LC/NE"
"Merops viridis","Coraciiformes",0,0,34.8,"1","Carnivore",11.3,108.76,"RS",11,"LC",1.54157924394658,"Resident/low mobility","LC","LC/NE"
"Nyctyornis amictus","Coraciiformes",0,0,71.89,"1","Carnivore",1.98,107.61,"R",1,"LC",1.85666848361154,"Resident/low mobility","LC","LC/NE"
"Nyctyornis athertoni","Coraciiformes",0,0,84.23,"1","Carnivore",20.49,94.51,"R",3,"LC",1.92546680069154,"Resident/low mobility","LC","LC/NE"
"Cacomantis merulinus","Cuculiformes",1,1,25.3,"1","Carnivore",13.43,105.48,"RSV",15,"LC",1.40312052117582,"Resident/low mobility","LC","LC/NE"
"Cacomantis sonneratii","Cuculiformes",0,0,33.8,"1","Carnivore",13.43,96.57,"S",3,"LC",1.52891670027765,"Resident/low mobility","LC","LC/NE"
"Centropus bengalensis","Cuculiformes",4,1,148.91,"1","Carnivore",14.75,105.79,"R",19,"LC",2.17292386362854,"Resident/low mobility","LC","LC/NE"
"Centropus sinensis","Cuculiformes",0,0,280.7,"1","Carnivore",18,93.56,"R",14,"LC",2.44824241263444,"Resident/low mobility","LC","LC/NE"
"Chrysococcyx maculatus","Cuculiformes",0,0,27.38,"1","Carnivore",24.16,100.65,"RS",9,"LC",1.43743344379797,"Resident/low mobility","LC","LC/NE"
"Chrysococcyx xanthorhynchus","Cuculiformes",0,0,22.37,"1","Carnivore",8.64,106.16,"R",1,"LC",1.34966598409663,"Resident/low mobility","LC","LC/NE"
"Clamator coromandus","Cuculiformes",3,1,74.59,"3","Carnivore",24.55,100.85,"RSPV",25,"LC",1.87268060715193,"Full migrant","LC","LC/NE"
"Clamator jacobinus","Cuculiformes",1,1,79.37,"3","Carnivore",3,38.05,NA,NA,"LC",1.89965638030564,"Full migrant","LC","LC/NE"
"Cuculus canorus","Cuculiformes",0,0,111.36,"3","Carnivore",49.44,81.5,"SP",33,"LC",2.04672922226649,"Full migrant","LC","LC/NE"
"Cuculus micropterus","Cuculiformes",0,0,88.75,"1","Carnivore",25.25,107.12,"RSV",31,"LC",1.94816836172713,"Resident/low mobility","LC","LC/NE"
"Cuculus optatus","Cuculiformes",0,0,NA,NA,NA,NA,NA,"SP",6,"LC",NA,NA,"LC","LC/NE"
"Cuculus poliocephalus","Cuculiformes",0,0,46.56,"3","Carnivore",32.14,112.09,"RSP",31,"LC",1.66801297164183,"Full migrant","LC","LC/NE"
"Cuculus saturatus","Cuculiformes",0,0,87,"3","Carnivore",52.86,104.25,"S",24,"LC",1.93951925261862,"Full migrant","LC","LC/NE"
"Eudynamys scolopaceus","Cuculiformes",4,1,194.92,"2","Herbivore",19.56,97.74,"RSP",25,"LC",2.28985640270926,"Partial migrant","LC","LC/NE"
"Hierococcyx hyperythrus","Cuculiformes",0,0,79.7,"1","Carnivore",37.95,126.44,"SWPV",13,"LC",1.90145832139611,"Resident/low mobility","LC","LC/NE"
"Hierococcyx nisicolor","Cuculiformes",1,1,79.7,"1","Carnivore",23.63,104.78,"S",18,"LC",1.90145832139611,"Resident/low mobility","LC","LC/NE"
"Hierococcyx sparverioides","Cuculiformes",0,0,151,"3","Carnivore",27.29,106.26,NA,NA,"LC",2.17897694729317,"Full migrant","LC","LC/NE"
"Hierococcyx varius","Cuculiformes",0,0,103,"1","Carnivore",22.17,80.81,"R",1,"LC",2.01283722470517,"Resident/low mobility","LC","LC/NE"
"Phaenicophaeus tristis","Cuculiformes",0,0,117,"1","Carnivore",18.67,98.34,"R",5,"LC",2.06818586174616,"Resident/low mobility","LC","LC/NE"
"Surniculus lugubris","Cuculiformes",0,0,29.7,"1","Carnivore",4.43,106.15,"RSP",16,"LC",1.47275644931721,"Resident/low mobility","LC","LC/NE"
"Falco amurensis","Falconiformes",0,0,141.87,"3","Carnivore",47.59,124.66,"RSWP",33,"LC",2.15189056873509,"Full migrant","LC","LC/NE"
"Falco cherrug","Falconiformes",1,1,961.21,"3","Carnivore",46.79,77.96,"RSWP",17,"EN",2.9828182803614,"Full migrant","Threatened","Threatened/DD"
"Falco columbarius","Falconiformes",0,0,188.5,"3","Carnivore",58.48,16.49,"SWP",29,"LC",2.27531135454181,"Full migrant","LC","LC/NE"
"Falco naumanni","Falconiformes",0,0,152.06,"3","Carnivore",44.83,68.24,"SWP",19,"LC",2.18201498615073,"Full migrant","LC","LC/NE"
"Falco peregrinus","Falconiformes",0,0,759.95,"2","Carnivore",50.28,21.82,"RWPV",33,"LC",2.88078501933549,"Partial migrant","LC","LC/NE"
"Falco rusticolus","Falconiformes",0,0,1431.72,"3","Carnivore",68.74,6.83,"S",6,"LC",3.15585809175327,"Full migrant","LC","LC/NE"
"Falco severus","Falconiformes",1,1,200.64,"3","Carnivore",11.43,114.69,"P",4,"LC",2.30241751915062,"Full migrant","LC","LC/NE"
"Falco subbuteo","Falconiformes",0,0,208.17,"3","Carnivore",50.34,78.26,"SWP",33,"LC",2.31841814220994,"Full migrant","LC","LC/NE"
"Falco tinnunculus","Falconiformes",0,0,183.21,"3","Carnivore",36.82,63.63,"RWP",34,"LC",2.26294917471553,"Full migrant","LC","LC/NE"
"Falco vespertinus","Falconiformes",0,0,151.49,"3","Carnivore",55.76,65.23,"R",1,"VU",2.18038396558976,"Full migrant","Threatened","Threatened/DD"
"Microhierax caerulescens","Falconiformes",0,0,38.72,"1","Carnivore",18.66,98.76,"R",1,"LC",1.58793534863636,"Resident/low mobility","LC","LC/NE"
"Microhierax melanoleucos","Falconiformes",0,0,64.22,"1","Carnivore",25.65,108.46,NA,NA,"LC",1.80767030123048,"Resident/low mobility","LC","LC/NE"
"Alectoris chukar","Galliformes",0,0,502.1,"1","Herbivore",39.84,78.69,"R",14,"LC",2.70079022137435,"Resident/low mobility","LC","LC/NE"
"Alectoris magna","Galliformes",0,0,541.35,"1","Herbivore",36.72,100.28,"R",3,"LC",2.73347814111519,"Resident/low mobility","LC","LC/NE"
"Arborophila ardens","Galliformes",0,0,266.64,"1","Omnivore",18.86,109.51,"R",1,"VU",2.42592530065247,"Resident/low mobility","Threatened","Threatened/DD"
"Arborophila atrogularis","Galliformes",0,0,237.31,"1","Herbivore",24.75,94.47,"R",1,"LC",2.37531603932696,"Resident/low mobility","LC","LC/NE"
"Arborophila brunneopectus","Galliformes",0,0,291.47,"1","Herbivore",19.44,102.12,"R",3,"LC",2.46459386096488,"Resident/low mobility","LC","LC/NE"
"Arborophila crudigularis","Galliformes",0,0,256.77,"1","Herbivore",23.89,121.17,"R",1,"LC",2.4095442810964,"Resident/low mobility","LC","LC/NE"
"Arborophila gingica","Galliformes",0,0,253,"1","Herbivore",25.73,115.23,"R",6,"NT",2.40312052117582,"Resident/low mobility","NT","NT"
"Arborophila mandellii","Galliformes",0,0,268,"1","Herbivore",27.73,92.92,"R",1,"NT",2.42813479402879,"Resident/low mobility","NT","NT"
"Arborophila rufipectus","Galliformes",0,0,400.11,"1","Herbivore",28.66,103.57,"R",2,"VU",2.60217940589174,"Resident/low mobility","Threatened","Threatened/DD"
"Arborophila rufogularis","Galliformes",0,0,344.46,"1","Herbivore",23.19,96.06,"R",2,"LC",2.53713879725126,"Resident/low mobility","LC","LC/NE"
"Arborophila torqueola","Galliformes",0,0,344.46,"1","Herbivore",27.19,92.18,"R",2,"LC",2.53713879725126,"Resident/low mobility","LC","LC/NE"
"Bambusicola fytchii","Galliformes",0,0,313.65,"1","Herbivore",22.96,97.93,"R",4,"LC",2.49644529187335,"Resident/low mobility","LC","LC/NE"
"Bambusicola sonorivox","Galliformes",0,0,264.79,"1","Herbivore",23.76,120.98,"R",1,"LC",2.42290157960896,"Resident/low mobility","LC","LC/NE"
"Bambusicola thoracicus","Galliformes",0,0,264.79,"1","Herbivore",28.51,112.46,"R",17,"LC",2.42290157960896,"Resident/low mobility","LC","LC/NE"
"Chrysolophus amherstiae","Galliformes",0,0,732.47,"1","Omnivore",27.2,101.1,"R",5,"LC",2.86478984185718,"Resident/low mobility","LC","LC/NE"
"Chrysolophus pictus","Galliformes",2,1,555.2,"1","Herbivore",29.7,105.87,"R",12,"LC",2.7444494574468,"Resident/low mobility","LC","LC/NE"
"Coturnix coturnix","Galliformes",0,0,96.28,"3","Herbivore",44.69,52.94,"SW",2,"LC",1.98353608160299,"Full migrant","LC","LC/NE"
"Coturnix japonica","Galliformes",0,0,94.78,"3","Herbivore",49.71,124.3,"SWP",32,"NT",1.97671670436338,"Full migrant","NT","NT"
"Crossoptilon auritum","Galliformes",0,0,1768.33,"1","Herbivore",35.13,102.09,"R",5,"LC",3.24756331486569,"Resident/low mobility","LC","LC/NE"
"Crossoptilon crossoptilon","Galliformes",0,0,2075.25,"1","Herbivore",29.47,98.63,"R",4,"LC",3.31707042253265,"Resident/low mobility","LC","LC/NE"
"Crossoptilon harmani","Galliformes",0,0,2075.25,"1","Herbivore",29.52,92.94,"R",1,"LC",3.31707042253265,"Resident/low mobility","LC","LC/NE"
"Crossoptilon mantchuricum","Galliformes",1,1,1860.85,"1","Herbivore",38.16,112.72,"R",4,"LC",3.26971136679127,"Resident/low mobility","LC","LC/NE"
"Falcipennis falcipennis","Galliformes",0,0,685.61,"1","Herbivore",53.17,135.13,"R",1,"NT",2.83607714338589,"Resident/low mobility","NT","NT"
"Francolinus pintadeanus","Galliformes",0,0,310,"1","Herbivore",20.91,106.09,"R",11,"LC",2.49136169383427,"Resident/low mobility","LC","LC/NE"
"Gallus gallus","Galliformes",0,0,751.72,"1","Herbivore",16.29,100.19,"R",4,"LC",2.87605610508724,"Resident/low mobility","LC","LC/NE"
"Ithaginis cruentus","Galliformes",0,0,530.67,"1","Herbivore",31.22,100.53,"R",6,"LC",2.72482453665383,"Resident/low mobility","LC","LC/NE"
"Lagopus lagopus","Galliformes",0,0,566.86,"1","Herbivore",62.32,35.69,"R",2,"LC",2.75347581244665,"Resident/low mobility","LC","LC/NE"
"Lagopus muta","Galliformes",0,0,535.3,"1","Herbivore",65.52,23.92,"R",1,"LC",2.72859724338343,"Resident/low mobility","LC","LC/NE"
"Lerwa lerwa","Galliformes",0,0,567.34,"1","Herbivore",31.25,90.58,"R",4,"LC",2.75384340434184,"Resident/low mobility","LC","LC/NE"
"Lophophorus impejanus","Galliformes",0,0,2066.51,"1","Herbivore",30.81,83.11,"R",2,"LC",3.31523751120704,"Resident/low mobility","LC","LC/NE"
"Lophophorus lhuysii","Galliformes",0,0,3008,"1","Herbivore",32.05,101.2,"R",5,"VU",3.4782778319196,"Resident/low mobility","Threatened","Threatened/DD"
"Lophophorus sclateri","Galliformes",0,0,2500,"1","Herbivore",28.17,96.57,"R",2,"LC",3.39794000867204,"Resident/low mobility","LC","LC/NE"
"Lophura leucomelanos","Galliformes",1,1,867.98,"1","Omnivore",24.81,92.8,"R",2,"LC",2.93850971827591,"Resident/low mobility","LC","LC/NE"
"Lophura nycthemera","Galliformes",2,1,1230,"1","Herbivore",21.5,103.56,"R",11,"LC",3.0899051114394,"Resident/low mobility","LC","LC/NE"
"Lophura swinhoii","Galliformes",0,0,1100,"1","Herbivore",23.79,121.1,"R",1,"NT",3.04139268515822,"Resident/low mobility","NT","NT"
"Lyrurus tetrix","Galliformes",0,0,1068.66,"1","Herbivore",56.84,73.99,"R",6,"LC",3.02883955402936,"Resident/low mobility","LC","LC/NE"
"Pavo muticus","Galliformes",0,0,2205.71,"1","Carnivore",16.26,100.99,"R",2,"EN",3.34354841214821,"Resident/low mobility","Threatened","Threatened/DD"
"Perdix dauurica","Galliformes",0,0,263.41,"1","Herbivore",47.34,105.44,"R",13,"LC",2.42063225833412,"Resident/low mobility","LC","LC/NE"
"Perdix hodgsoniae","Galliformes",1,1,363.73,"2","Omnivore",31.8,93.28,"R",6,"LC",2.56077912260308,"Partial migrant","LC","LC/NE"
"Perdix perdix","Galliformes",0,0,405.3,"1","Herbivore",52.09,41.6,"R",1,"LC",2.60777660374169,"Resident/low mobility","LC","LC/NE"
"Phasianus colchicus","Galliformes",1,1,1120.31,"1","Herbivore",38.76,101.53,"R",31,"LC",3.04933821254591,"Resident/low mobility","LC","LC/NE"
"Polyplectron bicalcaratum","Galliformes",0,0,467.84,"1","Herbivore",21.44,98.51,"R",1,"LC",2.67009735094175,"Resident/low mobility","LC","LC/NE"
"Polyplectron katsumatae","Galliformes",0,0,467.84,"1","Herbivore",18.88,109.43,"R",1,"EN",2.67009735094175,"Resident/low mobility","Threatened","Threatened/DD"
"Pucrasia macrolopha","Galliformes",0,0,1050.47,"1","Herbivore",31.24,106.55,"R",21,"LC",3.02138365405706,"Resident/low mobility","LC","LC/NE"
"Synoicus chinensis","Galliformes",0,0,40.41,"1","Herbivore",8.56,109.19,"R",7,"LC",1.60648885044265,"Resident/low mobility","LC","LC/NE"
"Syrmaticus ellioti","Galliformes",0,0,1007.45,"1","Herbivore",27.21,114.6,"R",10,"LC",3.00322350120229,"Resident/low mobility","LC","LC/NE"
"Syrmaticus humiae","Galliformes",1,1,873.35,"1","Herbivore",23.67,99.86,"R",3,"VU",2.94118832458363,"Resident/low mobility","Threatened","Threatened/DD"
"Syrmaticus mikado","Galliformes",0,0,1148.69,"1","Herbivore",23.76,121.13,"R",1,"LC",3.06020284030325,"Resident/low mobility","LC","LC/NE"
"Syrmaticus reevesii","Galliformes",1,1,1204.58,"1","Herbivore",30.57,107.63,"R",10,"VU",3.08083564817397,"Resident/low mobility","Threatened","Threatened/DD"
"Tetrao urogalloides","Galliformes",0,0,2752.29,"1","Herbivore",59.89,128.96,"R",3,"LC",3.43969419219585,"Resident/low mobility","LC","LC/NE"
"Tetrao urogallus","Galliformes",0,0,2716.61,"1","Herbivore",59.49,69.35,"R",1,"LC",3.43402729502253,"Resident/low mobility","LC","LC/NE"
"Tetraogallus altaicus","Galliformes",0,0,2760.43,"1","Herbivore",49.04,93.45,"R",1,"LC",3.44097673861646,"Resident/low mobility","LC","LC/NE"
"Tetraogallus himalayensis","Galliformes",0,0,2428,"1","Herbivore",38.18,79.51,"R",4,"LC",3.38524868240322,"Resident/low mobility","LC","LC/NE"
"Tetraogallus tibetanus","Galliformes",0,0,1488.87,"1","Herbivore",33.54,89.36,"R",6,"LC",3.17285677918442,"Resident/low mobility","LC","LC/NE"
"Tetraophasis obscurus","Galliformes",0,0,855.35,"1","Herbivore",34.13,103.08,"R",3,"LC",2.93214385971696,"Resident/low mobility","LC","LC/NE"
"Tetraophasis szechenyii","Galliformes",0,0,1052.99,"1","Herbivore",30.15,97.98,"R",4,"LC",3.02242424681185,"Resident/low mobility","LC","LC/NE"
"Tetrastes bonasia","Galliformes",0,0,NA,NA,NA,NA,NA,"R",6,"LC",NA,NA,"LC","LC/NE"
"Tetrastes sewerzowi","Galliformes",0,0,NA,NA,NA,NA,NA,"R",5,"NT",NA,NA,"NT","NT"
"Tragopan blythii","Galliformes",0,0,1930,"1","Herbivore",25.58,94.91,"R",2,"VU",3.28555730900777,"Resident/low mobility","Threatened","Threatened/DD"
"Tragopan caboti","Galliformes",1,1,1122.49,"1","Herbivore",25.73,115.23,"R",6,"VU",3.05018248066497,"Resident/low mobility","Threatened","Threatened/DD"
"Tragopan melanocephalus","Galliformes",0,0,1613.19,"1","Herbivore",32.63,76.77,"R",1,"VU",3.2076855211968,"Resident/low mobility","Threatened","Threatened/DD"
"Tragopan satyra","Galliformes",0,0,1417.03,"1","Herbivore",28.59,85.1,"R",1,"LC",3.151379044811,"Resident/low mobility","LC","LC/NE"
"Tragopan temminckii","Galliformes",1,1,1163.38,"1","Herbivore",28.33,104.15,NA,NA,"LC",3.06572159344525,"Resident/low mobility","LC","LC/NE"
"Tropicoperdix chloropus","Galliformes",0,0,NA,NA,NA,NA,NA,"R",1,"LC",NA,NA,"LC","LC/NE"
"Gavia adamsii","Gaviiformes",3,1,4944.34,"3","Carnivore",69.55,20.13,"PW",4,"NT",3.69410832758375,"Full migrant","NT","NT"
"Gavia arctica","Gaviiformes",3,1,2251.1,"3","Carnivore",61.61,90.85,"WP",12,"LC",3.35239478797411,"Full migrant","LC","LC/NE"
"Gavia pacifica","Gaviiformes",1,1,2251.1,"3","Carnivore",65.34,-99.42,"PWV",6,"LC",3.35239478797411,"Full migrant","LC","LC/NE"
"Gavia stellata","Gaviiformes",2,1,1486,"3","Carnivore",65.76,30.64,"SWP",16,"LC",3.17201880942456,"Full migrant","LC","LC/NE"
"Antigone antigone","Gruiformes",0,0,5916.22,"2","Omnivore",15.23,94.27,NA,NA,NA,3.77204431525885,"Partial migrant","Unknown","Unknown"
"Antigone canadensis","Gruiformes",0,0,4296.22,"3","Omnivore",60.34,-103.96,NA,NA,NA,3.63308651252848,"Full migrant","Unknown","Unknown"
"Antigone vipio","Gruiformes",0,0,4662.99,"3","Herbivore",48.27,121.5,NA,NA,NA,3.66866448409068,"Full migrant","Unknown","Unknown"
"Grus grus","Gruiformes",0,0,5499.99,"3","Herbivore",56.97,74.47,"SWPV",34,"LC",3.7403618998672,"Full migrant","LC","LC/NE"
"Grus japonensis","Gruiformes",2,1,8785.99,"3","Omnivore",48.03,128.14,"SWPV",16,"VU",3.94379070462617,"Full migrant","Threatened","Threatened/DD"
"Grus monacha","Gruiformes",1,1,3729.9,"3","Herbivore",54.86,123.24,"SWPV",20,"VU",3.57169718836891,"Full migrant","Threatened","Threatened/DD"
"Grus nigricollis","Gruiformes",1,1,5999.99,"3","Omnivore",33.39,89.59,"SWP",7,"NT",3.7781505265589,"Full migrant","NT","NT"
"Grus virgo","Gruiformes",3,1,NA,NA,NA,NA,NA,"SWPV",20,NA,NA,NA,"Unknown","Unknown"
"Leucogeranus leucogeranus","Gruiformes",2,1,5913.44,"3","Omnivore",69.84,143.6,NA,NA,"CR",3.7718401946532,"Full migrant","Threatened","Threatened/DD"
"Amaurornis cinerea","Gruiformes",1,1,52.1,"1","Omnivore",-3.66,124.66,"V",5,"LC",1.71683772329952,"Resident/low mobility","LC","LC/NE"
"Amaurornis phoenicurus","Gruiformes",5,1,180,"1","Carnivore",19.12,99.24,"RS",31,"LC",2.25527250510331,"Resident/low mobility","LC","LC/NE"
"Coturnicops exquisitus","Gruiformes",1,1,60.9,"1","Carnivore",47.98,126.99,"SWP",18,"LC",1.78461729263288,"Resident/low mobility","LC","LC/NE"
"Crex crex","Gruiformes",1,1,154.91,"3","Carnivore",53.88,60.58,"SPV",3,"LC",2.19007945394151,"Full migrant","LC","LC/NE"
"Fulica atra","Gruiformes",0,0,717.12,"1","Herbivore",36.45,81.74,"RSW",34,"LC",2.85559183485497,"Resident/low mobility","LC","LC/NE"
"Gallicrex cinerea","Gruiformes",1,1,390.39,"2","Herbivore",22.92,101.65,"S",29,"LC",2.59149868450582,"Partial migrant","LC","LC/NE"
"Gallinula chloropus","Gruiformes",0,0,339.63,"1","Omnivore",27.57,54.75,"RSP",34,"LC",2.53100604511435,"Resident/low mobility","LC","LC/NE"
"Lewinia striata","Gruiformes",0,0,116,"1","Omnivore",15.54,105.86,"RS",17,"LC",2.06445798922692,"Resident/low mobility","LC","LC/NE"
"Porphyrio poliocephalus","Gruiformes",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown"
"Porzana porzana","Gruiformes",0,0,87.1,"3","Omnivore",54.44,55.52,"SPV",2,"LC",1.94001815500766,"Full migrant","LC","LC/NE"
"Rallina eurizonoides","Gruiformes",3,1,109,"1","Omnivore",18.18,103.78,"RSV",9,"LC",2.03742649794062,"Resident/low mobility","LC","LC/NE"
"Rallina fasciata","Gruiformes",2,1,100,"1","Carnivore",4.3,108.5,"V",1,"LC",2,"Resident/low mobility","LC","LC/NE"
"Rallus aquaticus","Gruiformes",3,1,110.67,"2","Carnivore",47.32,48.39,"R",4,"LC",2.04402990994647,"Partial migrant","LC","LC/NE"
"Rallus indicus","Gruiformes",0,0,104.5,"2","Carnivore",49.93,121.91,"RSWP",31,"LC",2.01911629044707,"Partial migrant","LC","LC/NE"
"Zapornia akool","Gruiformes",0,0,131.43,"2","Carnivore",23.74,91.2,"R",16,"LC",2.11869450789784,"Partial migrant","LC","LC/NE"
"Zapornia bicolor","Gruiformes",1,1,57.3,"1","Carnivore",25.17,99.33,"R",5,"LC",1.75815462196739,"Resident/low mobility","LC","LC/NE"
"Zapornia fusca","Gruiformes",0,0,57.27,"2","Omnivore",24.18,110.66,"RSP",30,"LC",1.75792718311333,"Partial migrant","LC","LC/NE"
"Zapornia parva","Gruiformes",0,0,49.7,"3","Carnivore",50.9,51.02,"SP",1,"LC",1.69635638873333,"Full migrant","LC","LC/NE"
"Zapornia paykullii","Gruiformes",0,0,111,"3","Carnivore",44.21,125.72,NA,NA,"NT",2.04532297878666,"Full migrant","NT","NT"
"Zapornia pusilla","Gruiformes",0,0,35.4,"3","Carnivore",23.48,74.5,NA,NA,"LC",1.54900326202579,"Full migrant","LC","LC/NE"
"Chlamydotis macqueenii","Otidiformes",0,0,1501.33,"1","Herbivore",40.12,70.58,"SP",2,"VU",3.17647616288081,"Resident/low mobility","Threatened","Threatened/DD"
"Otis tarda","Otidiformes",0,0,6759.92,"2","Omnivore",48.74,75.98,"RSWP",22,"EN",3.82994155633156,"Partial migrant","Threatened","Threatened/DD"
"Tetrax tetrax","Otidiformes",1,1,833.45,"2","Omnivore",48.84,54.04,"SPV",4,"NT",2.92087955092415,"Partial migrant","NT","NT"
"Acrocephalus agricola","Passeriformes",1,1,9.6,"3","Carnivore",46.5,71.71,"SP",2,"LC",0.982271233039568,"Full migrant","LC","LC/NE"
"Acrocephalus arundinaceus","Passeriformes",0,0,30,"3","Carnivore",49.39,45.3,"R",4,"LC",1.47712125471966,"Full migrant","LC","LC/NE"
"Acrocephalus bistrigiceps","Passeriformes",2,1,8.67,"3","Carnivore",43.82,124.82,"SWP",25,"LC",0.93801909747621,"Full migrant","LC","LC/NE"
"Acrocephalus concinens","Passeriformes",1,1,8.3,"2","Carnivore",33.61,105.24,"SPW",20,"LC",0.919078092376074,"Partial migrant","LC","LC/NE"
"Acrocephalus dumetorum","Passeriformes",1,1,11.2,"3","Carnivore",55.04,64.74,"SV",3,"LC",1.04921802267018,"Full migrant","LC","LC/NE"
"Acrocephalus melanopogon","Passeriformes",0,0,10.9,"3","Carnivore",42.27,49.27,"S",1,"LC",1.03742649794062,"Full migrant","LC","LC/NE"
"Acrocephalus orientalis","Passeriformes",1,1,23.5,"3","Carnivore",43.41,121.43,"SWP",33,"LC",1.37106786227174,"Full migrant","LC","LC/NE"
"Acrocephalus schoenobaenus","Passeriformes",0,0,11.83,"3","Carnivore",56.04,47.36,"SP",2,"LC",1.07298474462793,"Full migrant","LC","LC/NE"
"Acrocephalus scirpaceus","Passeriformes",0,0,12.3,"3","Carnivore",25.94,33.16,"SPV",2,"LC",1.0899051114394,"Full migrant","LC","LC/NE"
"Acrocephalus sorghophilus","Passeriformes",0,0,8.2,"3","Carnivore",NA,NA,"SPV",12,"CR",0.913813852383717,"Full migrant","Threatened","Threatened/DD"
"Acrocephalus stentoreus","Passeriformes",0,0,24.2,"2","Carnivore",32.95,75.17,"R",5,"LC",1.38381536598043,"Partial migrant","LC","LC/NE"
"Acrocephalus tangorum","Passeriformes",2,1,8,"3","Carnivore",49.24,127.78,"SPWV",11,"VU",0.903089986991944,"Full migrant","Threatened","Threatened/DD"
"Arundinax aedon","Passeriformes",0,0,22.4,"3","Carnivore",50.11,110.59,"SP",25,"LC",1.35024801833416,"Full migrant","LC","LC/NE"
"Iduna caligata","Passeriformes",1,1,8.9,"3","Carnivore",54.46,63.33,"S",2,"LC",0.949390006644913,"Full migrant","LC","LC/NE"
"Iduna pallida","Passeriformes",0,0,9,"3","Carnivore",36.23,41.64,"S",1,"LC",0.954242509439325,"Full migrant","LC","LC/NE"
"Iduna rama","Passeriformes",0,0,9.3,"3","Carnivore",40.31,63.92,"R",2,"LC",0.968482948553935,"Full migrant","LC","LC/NE"
"Aegithalos bonvaloti","Passeriformes",1,1,7,"1","Carnivore",28.23,100.43,"R",5,"LC",0.845098040014257,"Resident/low mobility","LC","LC/NE"
"Aegithalos caudatus","Passeriformes",2,1,8.6,"1","Carnivore",52.48,72.38,"RW",7,"LC",0.934498451243568,"Resident/low mobility","LC","LC/NE"
"Aegithalos concinnus","Passeriformes",2,1,6.1,"1","Carnivore",27.24,107.84,"R",22,"LC",0.785329835010767,"Resident/low mobility","LC","LC/NE"
"Aegithalos fuliginosus","Passeriformes",2,1,5.65,"1","Carnivore",31.85,105.43,"R",9,"LC",0.752048447819439,"Resident/low mobility","LC","LC/NE"
"Aegithalos glaucogularis","Passeriformes",0,0,8.6,"1","Carnivore",33.83,110.6,"R",20,"LC",0.934498451243568,"Resident/low mobility","LC","LC/NE"
"Aegithalos iouschistos","Passeriformes",0,0,7,"1","Carnivore",28.11,90.89,"R",1,"LC",0.845098040014257,"Resident/low mobility","LC","LC/NE"
"Leptopoecile elegans","Passeriformes",1,1,6.21,"1","Carnivore",33.97,99.28,"R",7,"LC",0.79309160017658,"Resident/low mobility","LC","LC/NE"
"Leptopoecile sophiae","Passeriformes",0,0,6.9,"1","Carnivore",36.15,90.29,"RS",5,"LC",0.838849090737255,"Resident/low mobility","LC","LC/NE"
"Aegithina lafresnayei","Passeriformes",0,0,11.96,"1","Carnivore",15.28,102.15,"R",1,"LC",1.07773117965239,"Resident/low mobility","LC","LC/NE"
"Aegithina tiphia","Passeriformes",0,0,12,"1","Carnivore",15.54,93.44,"R",3,"LC",1.07918124604762,"Resident/low mobility","LC","LC/NE"
"Alauda arvensis","Passeriformes",0,0,37.31,"2","Omnivore",53.41,76.7,"SWPV",26,"LC",1.57182524904083,"Partial migrant","LC","LC/NE"
"Alauda gulgula","Passeriformes",1,1,26.3,"2","Omnivore",27.53,89.85,"RWS",24,"LC",1.41995574848976,"Partial migrant","LC","LC/NE"
"Alauda leucoptera","Passeriformes",0,0,45.3,"3","Omnivore",50.99,64.63,"WP",1,"LC",1.65609820201283,"Full migrant","LC","LC/NE"
"Alaudala cheleensis","Passeriformes",1,1,NA,NA,NA,NA,NA,"RSV",19,"LC",NA,NA,"LC","LC/NE"
"Alaudala heinei","Passeriformes",1,1,NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,"LC","LC/NE"
"Calandrella acutirostris","Passeriformes",0,0,20.16,"3","Omnivore",35.02,83.27,"S",7,"LC",1.30449052777349,"Full migrant","LC","LC/NE"
"Calandrella brachydactyla","Passeriformes",1,1,21.06,"2","Omnivore",42.62,50.52,"SPW",21,"LC",1.32345836684947,"Partial migrant","LC","LC/NE"
"Calandrella dukhunensis","Passeriformes",0,0,21.06,"2","Omnivore",40.75,105.74,NA,NA,"LC",1.32345836684947,"Partial migrant","LC","LC/NE"
"Eremophila alpestris","Passeriformes",1,1,33.33,"3","Omnivore",53.86,4.61,"RSWP",13,"LC",1.52283531366053,"Full migrant","LC","LC/NE"
"Galerida cristata","Passeriformes",1,1,42.68,"1","Omnivore",34.48,50.27,"RW",16,"LC",1.63022441075243,"Resident/low mobility","LC","LC/NE"
"Melanocorypha bimaculata","Passeriformes",0,0,54.1,"3","Omnivore",41.58,58.34,"W",1,"LC",1.73319726510657,"Full migrant","LC","LC/NE"
