"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group","z_log_mass","z_range_size"
"Accipiter badius","Accipitriformes",1,1,131.15,"3","Carnivore",8.23,44.98,"RP",11,"LC",2.11776829492637,"Full migrant","LC","LC/NE",0.332868638300616,-0.0555402363646385
"Accipiter gentilis","Accipitriformes",0,0,866.04,"2","Carnivore",54.91,19.06,"SWP",34,"LC",2.9375379513454,"Partial migrant","LC","LC/NE",1.42079000713111,1.98639267211624
"Accipiter gularis","Accipitriformes",1,1,120.66,"3","Carnivore",49.07,117.11,"SWPV",29,"LC",2.08156332098039,"Full migrant","LC","LC/NE",0.284820794000244,1.54249421375083
"Accipiter nisus","Accipitriformes",0,0,220.79,"2","Carnivore",54.67,77.29,"RSWP",34,"LC",2.3439793994776,"Partial migrant","LC","LC/NE",0.633074790822848,1.98639267211624
"Accipiter soloensis","Accipitriformes",3,1,164.77,"3","Carnivore",31.97,117.13,"RSWP",27,"LC",2.21687814170286,"Full migrant","LC","LC/NE",0.464397927443443,1.36493483040467
"Accipiter trivirgatus","Accipitriformes",7,1,265.04,"1","Carnivore",13.91,101.71,"R",22,"LC",2.4233114228739,"Resident/low mobility","LC","LC/NE",0.73835680853306,0.92103637203926
"Accipiter virgatus","Accipitriformes",1,1,116.99,"2","Carnivore",22.08,101.25,"R",25,"LC",2.06814874097329,"Partial migrant","LC","LC/NE",0.267018222107852,1.18737544705851
"Aegypius monachus","Accipitriformes",0,0,9320.55,"1","Scavenger",41.63,87.87,"RW",34,"NT",3.969441540564,"Resident/low mobility","NT","NT",2.7902356269992,1.98639267211624
"Aquila chrysaetos","Accipitriformes",0,0,4247.97,"2","Carnivore",50.67,38.05,"RSW",31,"LC",3.62818144101116,"Partial migrant","LC","LC/NE",2.33734724338356,1.720053597097
"Aquila fasciata","Accipitriformes",2,1,1936.49,"2","Carnivore",27.52,62.08,"RPV",16,"LC",3.28701525863889,"Partial migrant","LC","LC/NE",1.88458349783772,0.38835822200077
"Aquila heliaca","Accipitriformes",2,1,3125.21,"3","Carnivore",49.87,70.89,"RWPV",26,"VU",3.49487920528872,"Full migrant","Threatened","Threatened/DD",2.16044102391111,1.27615513873159
"Aquila nipalensis","Accipitriformes",0,0,2714.33,"3","Carnivore",43.73,85.14,"SWP",26,"EN",3.4336626467381,"Full migrant","Threatened","Threatened/DD",2.07920015136601,1.27615513873159
"Aviceda jerdoni","Accipitriformes",2,1,363,"1","Carnivore",6.17,107.44,"R",6,"LC",2.55990662503611,"Resident/low mobility","LC","LC/NE",0.919633144084604,-0.499438694730047
"Aviceda leuphotes","Accipitriformes",4,1,193.98,"3","Carnivore",23.21,103.96,"RSP",21,"LC",2.2877569549952,"Full migrant","LC","LC/NE",0.558461637870256,0.832256680366178
