"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
593,"Locustella davidi","PASSERIFORMES","雀形目","辽宁省","Liaoning",2003,"分布变化","环志网捕",121.633333333333,38.8666666666667,"Passeriformes","Liaoning","Range shift or distribution change"
970,"Egretta eulophotes","PELECANIFORMES","鹈形目","广西壮族自治区","Guangxi",2003,"分布变化","观察",108.305833333333,21.6741666666667,"Pelecaniformes","Guangxi","Range shift or distribution change"
79,"Anser erythropus","ANSERIFORMES","雁形目","云南省","Yunnan",2004,"分布变化","观察拍摄",100.083333333333,26.7333333333333,"Anseriformes","Yunnan","Range shift or distribution change"
411,"Coturnicops exquisitus","GRUIFORMES","鹤形目","云南省","Yunnan",2004,"分布变化","环志捕获",100.353888888889,25.2958333333333,"Gruiformes","Yunnan","Range shift or distribution change"
735,"Passer cinnamomeus","PASSERIFORMES","雀形目","北京市","Beijing",2004,"分布变化","观察拍摄",115.475194444444,39.7685555555556,"Passeriformes","Beijing","Range shift or distribution change"
699,"Aethopyga christinae","PASSERIFORMES","雀形目","湖北省","Hubei",2004,"分布变化","观察拍摄",110.537333333333,30.0736666666667,"Passeriformes","Hubei","Range shift or distribution change"
571,"Lanius tephronotus","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2004,"分布变化","观察和拍照",75.4027222222222,37.3726388888889,"Passeriformes","Xinjiang","Range shift or distribution change"
995,"Pelecanus onocrotalus","PELECANIFORMES","鹈形目","四川省","Sichuan",2004,"分布变化","观察拍摄",106.089,30.815447,"Pelecaniformes","Sichuan","Range shift or distribution change"
1059,"Tyto alba","STRIGIFORMES","鸮形目","广西壮族自治区","Guangxi",2004,"分布变化","标本采集",109.51209,18.25248,"Strigiformes","Guangxi","Range shift or distribution change"
188,"Hydroprogne caspia","CHARADRIIFORMES","鸻形目","云南省","Yunnan",2005,"分布变化","查阅标本",102.64068,25.00224,"Charadriiformes","Yunnan","Range shift or distribution change"
589,"Helopsaltes pleskei","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2005,"分布变化","标本采集",106.76649,22.09439,"Passeriformes","Guangxi","Range shift or distribution change"
896,"Mixornis gularis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2005,"分布变化","标本采集",106.957666666667,22.4744,"Passeriformes","Guangxi","Range shift or distribution change"
469,"Certhia tianquanensis","PASSERIFORMES","雀形目","陕西省","Shaanxi",2005,"重新认定为独立物种","录音回放和捕捉辨认",107.8,34.0166666666667,"Passeriformes","Shaanxi","Taxonomic revision"
1035,"Phoebastria immutabilis","PROCELLARIIFORMES","鹱形目","福建省","Fujian",2005,"分布变化","查阅标本",119.29659,26.09982,"Procellariiformes","Fujian","Range shift or distribution change"
1045,"Asio flammeus","STRIGIFORMES","鸮形目","广西壮族自治区","Guangxi",2005,"分布变化","标本采集",107.07668,22.14016,"Strigiformes","Guangxi","Range shift or distribution change"
