"migration_av_raw","migration_cn_raw","n_species"
"1","R",452
"3","SWP",86
"2","R",83
"3","WP",49
"3","S",35
"3","V",33
"3","SP",30
"3","SWPV",23
"1","RS",21
"2","SWP",20
"3","P",19
"3","R",18
"1","RW",17
"2","RS",17
"2","S",17
"3","RSWP",17
"1","S",16
"3","SPV",15
"2","RSWP",14
"1","V",12
"2","RSW",12
"1","SWP",10
"3","RSP",10
"3","SW",10
"3","WPV",10
"3","RS",9
"1","RSWP",8
"1","RV",8
"2","V",8
"3","SV",8
"2","SWPV",7
"1","RP",6
"1","RSP",6
"1","RSV",6
"2","P",6
"2","RSP",5
"2","RWP",5
"2","SP",5
"2","SW",5
"2","WP",5
"3","PV",5
"3","RSW",5
"1","SW",4
"2","RP",4
"2","RSWV",4
"2","RW",4
"3","RP",4
"3","W",4
"1","RSW",3
"1","RSWPV",3
"1","SP",3
"1","SWPV",3
"1","VR",3
"1","WP",3
"1","WPV",3
"2","RV",3
"2","SPV",3
"2","W",3
"3","PW",3
"3","PWV",3
"3","RWP",3
"3","SWV",3
"1","RWPV",2
"2","PV",2
"2","RPV",2
"2","SPW",2
"2","WPV",2
"3","PS",2
"3","RSPV",2
"3","RWPV",2
"3","SPW",2
"3","VW",2
"3","WV",2
"1","P",1
"1","PW",1
"1","RSPV",1
"1","RSWV",1
"1","RWP",1
"1","RWV",1
"1","SPV",1
"1","SV",1
"1","SWR",1
"1","SWV",1
"2","RSPV",1
"2","RSV",1
"2","RSWPV",1
"2","RWPV",1
"2","RWS",1
"2","SV",1
"2","SWPR",1
"2","SWR",1
"2","SWV",1
"2","VR",1
"2","WV",1
"2","WVP",1
"3","RSWPV",1
"3","RSWV",1
"3","RV",1
"3","SPR",1
"3","SPWV",1
"3","SWPR",1
"3","SWR",1
"3","VSP",1
