"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","phylo_species"
"Haliaeetus albicilla","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus albicilla","Accipitriformes","Accipitridae","Haliaeetus",5,4,0,0,4729.27,38,"Rock",3,"2","Carnivore","Aquatic predator",17404346.92,59.89,91.01,"否","食肉，食腐","2","SWP",33,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.67479410914395,3.66356164612965,3.52636052461616,1.09861228866811,1.6094379124341,"Haliaeetus_albicilla","Haliaeetus_albicilla"
"Haliaeetus leucogaster","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus leucogaster","Accipitriformes","Accipitridae","Haliaeetus",5,4,0,0,2827.01,41.3,"Coastal",2,"1","Carnivore","Aquatic predator",5127370.7,-9.12,123.68,"否","食肉，食腐","2","RV",8,2,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.4513273447248,3.74478708605223,2.19722457733622,1.09861228866811,1.6094379124341,"Haliaeetus_leucogaster","Haliaeetus_leucogaster"
"Haliaeetus leucoryphus","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus leucoryphus","Accipitriformes","Accipitridae","Haliaeetus",5,4,1,1,2885.92,42.8,"Wetland",3,"3","Carnivore","Aquatic predator",533825.64,27.12,85.7,"否","食肉","2-4","SWP",22,3,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.46028428793554,3.7796338173824,3.13549421592915,1.38629436111989,1.6094379124341,"Haliaeetus_leucoryphus","Haliaeetus_leucoryphus"
"Haliaeetus pelagicus","Aves","ACCIPITRIFORMES","Accipitridae","Haliaeetus","Haliaeetus pelagicus","Accipitriformes","Accipitridae","Haliaeetus",5,4,1,1,7756.99,31.1,"Wetland",3,"3","Carnivore","Aquatic predator",1293649.63,58.65,151.19,"否","食肉，食腐","2","WPV",9,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.88969323156954,3.46885603013597,2.30258509299405,1.09861228866811,1.6094379124341,"Haliaeetus_pelagicus","Haliaeetus_pelagicus"
"Haliastur indus","Aves","ACCIPITRIFORMES","Accipitridae","Haliastur","Haliastur indus","Accipitriformes","Accipitridae","Haliastur",1,0,1,1,529,36.4,"Coastal",2,"1","Carnivore","Omnivore",8840397.2,9.01,106.46,"否","食肉，食虫","2-3","RSWPV",12,2.5,"Non_endemic","Resident_low","Omnivore","Non_forest",2.72345567203519,3.62167070442049,2.56494935746154,1.25276296849537,0,"Haliastur_indus","Haliastur_indus"
"Hieraaetus pennatus","Aves","ACCIPITRIFORMES","Accipitridae","Hieraaetus","Hieraaetus pennatus","Accipitriformes","Accipitridae","Hieraaetus",1,0,7,1,823.75,42,"Forest",1,"3","Carnivore","Vertivore",6138248.03,42.1,55.17,"否","食肉","2","RP",11,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.91579542760207,3.76120011569356,2.484906649788,1.09861228866811,0,"Hieraaetus_pennatus","Hieraaetus_pennatus"
"Lophotriorchis kienerii","Aves","ACCIPITRIFORMES","Accipitridae","Lophotriorchis","Lophotriorchis kienerii","Accipitriformes","Accipitridae","Lophotriorchis",1,0,1,1,799,35.9,"Forest",2,"1","Carnivore","Vertivore",3758691.08,9.42,104.2,"否","食肉","1","R",1,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.90254677931399,3.60821155104648,0.693147180559945,0.693147180559945,0,"Lophotriorchis_kienerii","Lophotriorchis_kienerii"
"Milvus migrans","Aves","ACCIPITRIFORMES","Accipitridae","Milvus","Milvus migrans","Accipitriformes","Accipitridae","Milvus",1,0,0,0,734.1,48.1,"Woodland",3,"3","Omnivore","Omnivore",59168603.49,26.77,69.99,"否","食肉，食虫","2-3","RSWP",34,2.5,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",2.86575522407145,3.89385903480047,3.55534806148941,1.25276296849537,0,"Milvus_migrans","Milvus_migrans"
"Neophron percnopterus","Aves","ACCIPITRIFORMES","Accipitridae","Neophron","Neophron percnopterus","Accipitriformes","Accipitridae","Neophron",1,0,1,1,2082,48,"Grassland",3,"3","Omnivore","Scavenger",14111672.38,27.02,47.48,"否","食肉","2","P",1,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.31848072517452,3.89182029811063,0.693147180559945,1.09861228866811,0,"Neophron_percnopterus","Neophron_percnopterus"
"Nisaetus cirrhatus","Aves","ACCIPITRIFORMES","Accipitridae","Nisaetus","Nisaetus cirrhatus","Accipitriformes","Accipitridae","Nisaetus",2,1,0,0,1475.12,27.9,"Forest",1,"1","Carnivore","Vertivore",4408300.11,13.11,94.36,"否","食肉","1","R",2,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.16882735130943,3.36384159511839,1.09861228866811,0.693147180559945,0.693147180559945,"Nisaetus_cirrhatus","Nisaetus_cirrhatus"
"Nisaetus nipalensis","Aves","ACCIPITRIFORMES","Accipitridae","Nisaetus","Nisaetus nipalensis","Accipitriformes","Accipitridae","Nisaetus",2,1,3,1,3004.99,25.1,"Forest",1,"1","Carnivore","Vertivore",2149247.14,26.77,106.31,"否","食肉，食虫","2","R",17,2,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.47784303109681,3.26193531432865,2.89037175789616,1.09861228866811,0.693147180559945,"Nisaetus_nipalensis","Nisaetus_nipalensis"
"Pernis apivorus","Aves","ACCIPITRIFORMES","Accipitridae","Pernis","Pernis apivorus","Accipitriformes","Accipitridae","Pernis",2,1,0,0,754.37,37.9,"Forest",1,"3","Carnivore","Invertivore",9317297.54,54.03,38.95,"否","食肉","2-3","P",1,2.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",2.87758440892662,3.6609942506244,0.693147180559945,1.25276296849537,0.693147180559945,"Pernis_apivorus","Pernis_apivorus"
"Sarcogyps calvus","Aves","ACCIPITRIFORMES","Accipitridae","Sarcogyps","Sarcogyps calvus","Accipitriformes","Accipitridae","Sarcogyps",1,0,0,0,4469.89,44,"Human Modified",3,"1","Scavenger","Scavenger",2166730.6,24.15,83.35,"否","食腐","1","R",1,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.65029683566419,3.80666248977032,0.693147180559945,0.693147180559945,0,"Sarcogyps_calvus","Sarcogyps_calvus"
"Spilornis cheela","Aves","ACCIPITRIFORMES","Accipitridae","Spilornis","Spilornis cheela","Accipitriformes","Accipitridae","Spilornis",1,0,2,1,597.74,30.1,"Forest",1,"1","Carnivore","Vertivore",6837152.16,16.74,98.68,"否","食肉","1","R",20,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.7765123192401,3.43720781918519,3.04452243772342,0.693147180559945,0,"Spilornis_cheela","Spilornis_cheela"
"Pandion haliaetus","Aves","ACCIPITRIFORMES","Pandionidae","Pandion","Pandion haliaetus","Accipitriformes","Pandionidae","Pandion",1,0,0,0,1483.2,44.9,"Marine",3,"3","Carnivore","Aquatic predator",31298390.01,49.18,25.45,"否","食肉","2-3","RSW",34,2.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.17119971680042,3.8264651170665,3.55534806148941,1.25276296849537,0,"Pandion_haliaetus","Pandion_haliaetus"
"Aix galericulata","Aves","ANSERIFORMES","Anatidae","Aix","Aix galericulata","Anseriformes","Anatidae","Aix",1,0,2,1,567.04,50.1,"Forest",3,"3","Herbivore","Herbivore aquatic",1904941.91,45.58,131.94,"否","杂食性","7-12","SWPV",32,9.5,"Non_endemic","Long_distance_migrant","Plant_seed","Forest_primary",2.75361369587094,3.93378449720966,3.49650756146648,2.35137525716348,0,"Aix_galericulata","Aix_galericulata"
"Anas acuta","Aves","ANSERIFORMES","Anatidae","Anas","Anas acuta","Anseriformes","Anatidae","Anas",6,5,0,0,944.62,57.8,"Wetland",3,"3","Herbivore","Herbivore aquatic",28403500.77,59.6,26.95,"否","杂食性","6-11","SWP",34,8.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",2.97525713645314,4.07414185490458,3.55534806148941,2.2512917986065,1.79175946922805,"Anas_acuta","Anas_acuta"
"Anas crecca","Aves","ANSERIFORMES","Anatidae","Anas","Anas crecca","Anseriformes","Anatidae","Anas",6,5,0,0,341.89,53.5,"Wetland",3,"2","Herbivore","Herbivore aquatic",31784516.68,58.18,22.29,"否","杂食性","8-11","SWP",34,9.5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",2.53388639822762,3.9982007016692,3.55534806148941,2.35137525716348,1.79175946922805,"Anas_crecca","Anas_crecca"
"Anas luzonica","Aves","ANSERIFORMES","Anatidae","Anas","Anas luzonica","Anseriformes","Anatidae","Anas",6,5,0,0,832.04,44.3,"Wetland",3,"1","Omnivore","Herbivore aquatic",279937.11,11.81,122.91,"否","杂食性","10","V",2,10,"Non_endemic","Resident_low","Plant_seed","Non_forest",2.92014420533123,3.81330703248899,1.09861228866811,2.39789527279837,1.79175946922805,"Anas_luzonica","Anas_luzonica"
"Anas platyrhynchos","Aves","ANSERIFORMES","Anatidae","Anas","Anas platyrhynchos","Anseriformes","Anatidae","Anas",6,5,0,0,843.42,50.7,"Wetland",3,"2","Herbivore","Herbivore aquatic",39707247.47,51.63,11.04,"否","杂食性","7-11","RSWP",34,9,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",2.92604389521649,3.94545778151438,3.55534806148941,2.30258509299405,1.79175946922805,"Anas_platyrhynchos","Anas_platyrhynchos"
"Anas poecilorhyncha","Aves","ANSERIFORMES","Anatidae","Anas","Anas poecilorhyncha","Anseriformes","Anatidae","Anas",6,5,0,0,999.96,46.6,"Wetland",3,"2","Herbivore","Herbivore aquatic",5228716.82,21.93,88.08,"否","杂食性","9-10","VR",5,9.5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",2.99998262787328,3.86283276123737,1.79175946922805,2.35137525716348,1.79175946922805,"Anas_poecilorhyncha","Anas_poecilorhyncha"
"Anser albifrons","Aves","ANSERIFORMES","Anatidae","Anser","Anser albifrons","Anseriformes","Anatidae","Anser",8,7,1,1,2506.39,52.6,"Grassland",3,"3","Herbivore","Herbivore terrestrial",5891602.97,68.29,12.71,"否","杂食性","4-5","WP",21,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.39904864912808,3.98154906807676,3.09104245335832,1.70474809223843,2.07944154167984,"Anser_albifrons","Anser_albifrons"
"Anser anser","Aves","ANSERIFORMES","Anatidae","Anser","Anser anser","Anseriformes","Anatidae","Anser",8,7,1,1,3302.41,47.2,"Wetland",3,"3","Herbivore","Herbivore terrestrial",13285537.12,51.74,74.51,"否","杂食性","4-5","SWP",34,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.51883099069656,3.87535902105655,3.55534806148941,1.70474809223843,2.07944154167984,"Anser_anser","Anser_anser"
"Anser erythropus","Aves","ANSERIFORMES","Anatidae","Anser","Anser erythropus","Anseriformes","Anatidae","Anser",8,7,1,1,1755.5,53.1,"Grassland",3,"3","Herbivore","Herbivore terrestrial",2594919.27,68.29,95.41,"否","杂食性","4-5","WPV",23,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.24440083380137,3.99083418585244,3.17805383034795,1.70474809223843,2.07944154167984,"Anser_erythropus","Anser_erythropus"
"Anser fabalis","Aves","ANSERIFORMES","Anatidae","Anser","Anser fabalis","Anseriformes","Anatidae","Anser",8,7,1,1,2754.73,50.2,"Wetland",3,"3","Herbivore","Herbivore terrestrial",13919541.37,62.77,105.89,"否","杂食性","3-8","WP",23,5.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.44007903866642,3.93573953204546,3.17805383034795,1.87180217690159,2.07944154167984,"Anser_fabalis","Anser_fabalis"
"Anser indicus","Aves","ANSERIFORMES","Anatidae","Anser","Anser indicus","Anseriformes","Anatidae","Anser",8,7,2,1,2212.55,50.3,"Wetland",3,"3","Herbivore","Herbivore terrestrial",2371478,41.25,86.98,"否","杂食性","4-6","SWP",17,5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.34489309382353,3.93769075217672,2.89037175789616,1.79175946922805,2.07944154167984,"Anser_indicus","Anser_indicus"
"Aythya ferina","Aves","ANSERIFORMES","Anatidae","Aythya","Aythya ferina","Anseriformes","Anatidae","Aythya",8,7,0,0,822.99,50.1,"Wetland",3,"1","Herbivore","Herbivore aquatic",16611109.18,53.5,67.94,"否","杂食性","8","SWP",33,8,"Non_endemic","Resident_low","Plant_seed","Non_forest",2.91539455821202,3.93378449720966,3.52636052461616,2.19722457733622,2.07944154167984,"Aythya_ferina","Aythya_ferina"
"Aythya fuligula","Aves","ANSERIFORMES","Anatidae","Aythya","Aythya fuligula","Anseriformes","Anatidae","Aythya",8,7,1,1,701.17,50.1,"Wetland",3,"2","Omnivore","Herbivore aquatic",20377977.97,57.84,83.37,"否","食肉","8-10","SWP",34,9,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",2.84582332625636,3.93378449720966,3.55534806148941,2.30258509299405,2.07944154167984,"Aythya_fuligula","Aythya_fuligula"
"Aythya marila","Aves","ANSERIFORMES","Anatidae","Aythya","Aythya marila","Anseriformes","Anatidae","Aythya",8,7,0,0,1005.37,48.9,"Wetland",3,"3","Omnivore","Aquatic predator",11929401.28,64.6,26.26,"否","杂食性","7-10","WP",24,8.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.00232592184208,3.91002100275747,3.2188758248682,2.2512917986065,2.07944154167984,"Aythya_marila","Aythya_marila"
"Aythya nyroca","Aves","ANSERIFORMES","Anatidae","Aythya","Aythya nyroca","Anseriformes","Anatidae","Aythya",8,7,2,1,574,48.9,"Wetland",3,"3","Herbivore","Herbivore aquatic",6827514.86,46.16,49.61,"否","杂食性","7-11","SWP",29,9,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",2.75891189239797,3.91002100275747,3.40119738166216,2.30258509299405,2.07944154167984,"Aythya_nyroca","Aythya_nyroca"
"Branta bernicla","Aves","ANSERIFORMES","Anatidae","Branta","Branta bernicla","Anseriformes","Anatidae","Branta",5,4,2,1,1277.91,52.3,"Grassland",3,"3","Herbivore","Herbivore terrestrial",3125724.3,74.79,-22.74,"否","杂食性","3-6","PWV",13,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.10650026862698,3.9759363311718,2.63905732961526,1.70474809223843,1.6094379124341,"Branta_bernicla","Branta_bernicla"
"Branta canadensis","Aves","ANSERIFORMES","Anatidae","Branta","Branta canadensis","Anseriformes","Anatidae","Branta",5,4,4,1,2811.68,49.4,"Grassland",3,"3","Herbivore","Herbivore terrestrial",12236810.45,53.3,-104.21,"否","杂食性","4-7","V",1,5.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",3.44896589168836,3.91999117507732,0.693147180559945,1.87180217690159,1.6094379124341,"Branta_canadensis","Branta_canadensis"
