"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","phylo_species"
"Accipiter gentilis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gentilis","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,866.04,36.3,"Forest",1,"2","Carnivore","Vertivore",31775270.74,54.91,19.06,"否","食肉","2","SWP",34,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.9375379513454,3.61899332664977,3.55534806148941,1.09861228866811,1.94591014905531,"Accipiter_gentilis","Accipiter_gentilis"
"Accipiter gularis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter gularis","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,120.66,33.2,"Forest",1,"3","Carnivore","Vertivore",4785704.92,49.07,117.11,"否","食肉，食虫","5-6","SWPV",29,5.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.08156332098039,3.53222564406856,3.40119738166216,1.87180217690159,1.94591014905531,"Accipiter_gularis","Accipiter_gularis"
"Accipiter nisus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter nisus","Accipitriformes","Accipitridae","Accipiter",7,6,0,0,220.79,35.5,"Forest",1,"2","Carnivore","Vertivore",23601609.31,54.67,77.29,"否","食肉，食虫","3-4","RSWP",34,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.3439793994776,3.59731226058845,3.55534806148941,1.50407739677627,1.94591014905531,"Accipiter_nisus","Accipiter_nisus"
"Accipiter soloensis","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter soloensis","Accipitriformes","Accipitridae","Accipiter",7,6,3,1,164.77,39,"Forest",1,"3","Carnivore","Vertivore",2375886.74,31.97,117.13,"否","食肉，食虫","2-5","RSWP",27,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.21687814170286,3.68887945411394,3.3322045101752,1.50407739677627,1.94591014905531,"Accipiter_soloensis","Accipiter_soloensis"
"Accipiter trivirgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter trivirgatus","Accipitriformes","Accipitridae","Accipiter",7,6,7,1,265.04,23,"Forest",1,"1","Carnivore","Vertivore",3366430.69,13.91,101.71,"否","食肉，食虫","2-3","R",22,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.4233114228739,3.17805383034795,3.13549421592915,1.25276296849537,1.94591014905531,"Accipiter_trivirgatus","Accipiter_trivirgatus"
"Accipiter virgatus","Aves","ACCIPITRIFORMES","Accipitridae","Accipiter","Accipiter virgatus","Accipitriformes","Accipitridae","Accipiter",7,6,1,1,116.99,27.4,"Forest",1,"2","Carnivore","Vertivore",4398429.71,22.08,101.25,"否","食肉，食虫","3-4","R",25,3.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Forest_primary",2.06814874097329,3.34638914516716,3.25809653802148,1.50407739677627,1.94591014905531,"Accipiter_virgatus","Accipiter_virgatus"
"Aegypius monachus","Aves","ACCIPITRIFORMES","Accipitridae","Aegypius","Aegypius monachus","Accipitriformes","Accipitridae","Aegypius",1,0,0,0,9320.55,41.1,"Forest",2,"1","Scavenger","Scavenger",7718571.19,41.63,87.87,"否","食腐","1","RW",34,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",3.969441540564,3.74004774068834,3.55534806148941,0.693147180559945,0,"Aegypius_monachus","Aegypius_monachus"
"Aquila chrysaetos","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila chrysaetos","Accipitriformes","Accipitridae","Aquila",4,3,0,0,4247.97,36.7,"Grassland",3,"2","Carnivore","Vertivore",39450257.98,50.67,38.05,"否","食肉，食腐","2","RSW",31,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.62818144101116,3.62966009445396,3.46573590279973,1.09861228866811,1.38629436111989,"Aquila_chrysaetos","Aquila_chrysaetos"
"Aquila heliaca","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila heliaca","Accipitriformes","Accipitridae","Aquila",4,3,2,1,3125.21,39.5,"Woodland",1,"3","Carnivore","Vertivore",9556213.62,49.87,70.89,"否","食肉，食腐","2-3","RWPV",26,2.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",3.49487920528872,3.70130197411249,3.29583686600433,1.25276296849537,1.38629436111989,"Aquila_heliaca","Aquila_heliaca"
"Aquila nipalensis","Aves","ACCIPITRIFORMES","Accipitridae","Aquila","Aquila nipalensis","Accipitriformes","Accipitridae","Aquila",4,3,0,0,2714.33,40.5,"Grassland",3,"3","Carnivore","Vertivore",6933240.92,43.73,85.14,"否","食肉，食虫，食腐","2","SWP",26,2,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.4336626467381,3.72569342723665,3.29583686600433,1.09861228866811,1.38629436111989,"Aquila_nipalensis","Aquila_nipalensis"
"Butastur indicus","Aves","ACCIPITRIFORMES","Accipitridae","Butastur","Butastur indicus","Accipitriformes","Accipitridae","Butastur",3,2,2,1,414.6,46.9,"Woodland",2,"3","Carnivore","Vertivore",1828306.34,44.31,129.81,"否","食肉，食虫，食腐","3-4","SWP",28,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",2.61762929775784,3.86911550441687,3.36729582998647,1.50407739677627,1.09861228866811,"Butastur_indicus","Butastur_indicus"
"Butastur teesa","Aves","ACCIPITRIFORMES","Accipitridae","Butastur","Butastur teesa","Accipitriformes","Accipitridae","Butastur",3,2,0,0,325,44.5,"Woodland",3,"1","Carnivore","Vertivore",3969936.2,23.18,78.91,"否","食肉、食虫","1～4","R",1,2.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Forest_primary",2.51188336097887,3.8177123259569,0.693147180559945,1.25276296849537,1.09861228866811,"Butastur_teesa","Butastur_teesa"
"Buteo buteo","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo buteo","Accipitriformes","Accipitridae","Buteo",6,5,0,0,759.1,38.3,"Grassland",3,"2","Carnivore","Vertivore",11719424.27,52.89,40.23,"否","食肉","2-3","WP",2,2.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.88029899142575,3.67122451887522,1.09861228866811,1.25276296849537,1.79175946922805,"Buteo_buteo","Buteo_buteo"
"Buteo hemilasius","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo hemilasius","Accipitriformes","Accipitridae","Buteo",6,5,0,0,1358.89,38.2,"Grassland",3,"1","Carnivore","Vertivore",5366251.83,42.4,100.83,"否","食肉","2-4","RSWP",26,3,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.13318430270269,3.66867674679642,3.29583686600433,1.38629436111989,1.79175946922805,"Buteo_hemilasius","Buteo_hemilasius"
"Buteo lagopus","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo lagopus","Accipitriformes","Accipitridae","Buteo",6,5,0,0,949.76,42.1,"Grassland",3,"3","Carnivore","Vertivore",9709846.76,67.33,2.14,"否","食肉","3-4","WPV",22,3.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.9776138749269,3.7635229971097,3.13549421592915,1.50407739677627,1.79175946922805,"Buteo_lagopus","Buteo_lagopus"
"Buteo rufinus","Aves","ACCIPITRIFORMES","Accipitridae","Buteo","Buteo rufinus","Accipitriformes","Accipitridae","Buteo",6,5,0,0,1166.18,40.5,"Grassland",3,"3","Carnivore","Vertivore",8574436.83,40.86,49.85,"否","食肉，食腐","4","RWP",6,4,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",3.06676558899369,3.72569342723665,1.94591014905531,1.6094379124341,1.79175946922805,"Buteo_rufinus","Buteo_rufinus"
"Circaetus gallicus","Aves","ACCIPITRIFORMES","Accipitridae","Circaetus","Circaetus gallicus","Accipitriformes","Accipitridae","Circaetus",1,0,3,1,1699.12,40.5,"Woodland",3,"3","Carnivore","Vertivore",12695589.93,40.79,51.26,"否","食肉","1","RP",8,1,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Forest_primary",3.23022405191052,3.72569342723665,2.19722457733622,0.693147180559945,0,"Circaetus_gallicus","Circaetus_gallicus"
"Circus aeruginosus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus aeruginosus","Accipitriformes","Accipitridae","Circus",6,5,2,1,704.07,45.6,"Wetland",3,"2","Carnivore","Vertivore",13390803.81,50.03,51.14,"否","食肉，食腐","4-5","SWP",21,4.5,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.84761583968535,3.8416005411316,3.09104245335832,1.70474809223843,1.79175946922805,"Circus_aeruginosus","Circus_aeruginosus"
"Circus cyaneus","Aves","ACCIPITRIFORMES","Accipitridae","Circus","Circus cyaneus","Accipitriformes","Accipitridae","Circus",6,5,0,0,392.98,44.7,"Grassland",3,"3","Carnivore","Vertivore",17331412.86,58.07,84.36,"否","食肉，食虫","4-5","SWP",34,4.5,"Non_endemic","Long_distance_migrant","Vertebrate_aquatic","Non_forest",2.59437044831268,3.82209829790016,3.55534806148941,1.70474809223843,1.79175946922805,"Circus_cyaneus","Circus_cyaneus"
"Elanus caeruleus","Aves","ACCIPITRIFORMES","Accipitridae","Elanus","Elanus caeruleus","Accipitriformes","Accipitridae","Elanus",1,0,8,1,259.76,45.2,"Grassland",3,"2","Carnivore","Vertivore",26685941.8,3.69,41.21,"否","食肉，食虫","3-5","RSP",20,4,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",2.41457227561795,3.83297979808769,3.04452243772342,1.6094379124341,0,"Elanus_caeruleus","Elanus_caeruleus"
"Gypaetus barbatus","Aves","ACCIPITRIFORMES","Accipitridae","Gypaetus","Gypaetus barbatus","Accipitriformes","Accipitridae","Gypaetus",1,0,2,1,5694.98,49.5,"Rock",3,"2","Scavenger","Scavenger",8369572.33,34.75,76.41,"否","食腐","2","RP",14,2,"Non_endemic","Partial_migrant","Vertebrate_aquatic","Non_forest",3.75549220323428,3.92197333628131,2.70805020110221,1.09861228866811,0,"Gypaetus_barbatus","Gypaetus_barbatus"
"Gyps bengalensis","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps bengalensis","Accipitriformes","Accipitridae","Gyps",4,3,0,0,4385,38.8,"Grassland",3,"1","Scavenger","Scavenger",3047965.15,23.99,83.33,"否","食肉、食虫","1～2","R",1,1.5,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.64196959770206,3.68386691229039,0.693147180559945,0.916290731874155,1.38629436111989,"Gyps_bengalensis","Gyps_bengalensis"
"Gyps fulvus","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps fulvus","Accipitriformes","Accipitridae","Gyps",4,3,0,0,7435.99,39.2,"Grassland",3,"1","Scavenger","Scavenger",3487541.03,36.3,52.81,"否","食腐","1","R",2,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.87133879705632,3.69386699562498,1.09861228866811,0.693147180559945,1.38629436111989,"Gyps_fulvus","Gyps_fulvus"
"Gyps himalayensis","Aves","ACCIPITRIFORMES","Accipitridae","Gyps","Gyps himalayensis","Accipitriformes","Accipitridae","Gyps",4,3,2,1,9797.95,35.5,"Rock",3,"1","Scavenger","Scavenger",3859146.13,34.8,88.99,"否","食腐","1","RW",10,1,"Non_endemic","Resident_low","Vertebrate_aquatic","Non_forest",3.99113521887419,3.59731226058845,2.39789527279837,0.693147180559945,1.38629436111989,"Gyps_himalayensis","Gyps_himalayensis"
