"term","estimate","std.error","statistic","p.value","conf.low","conf.high","predictor","significant"
"z_hist_report_density",0.0629865524291349,0.138405854700881,0.455085896223534,0.652975010974512,-0.208288922784593,0.334262027642863,"Historical survey effort",FALSE
"z_curr_report_density",0.449144032194964,0.195748871142197,2.29449104648319,0.0304343872546833,0.0654762447562576,0.832811819633671,"Current survey effort",TRUE
"z_gdp_per_capita",0.135965165316477,0.204091644078496,0.666196629119141,0.51138672117832,-0.264054457077374,0.535984787710328,"Per capita GDP",FALSE
"z_area_km2",-0.589067799160688,0.12406014459265,-4.74824369337053,7.15489932187031e-05,-0.832225682562282,-0.345909915759093,"Area",TRUE
"z_habitat_heterogeneity",-0.0473539579366085,0.125023568390928,-0.378760249335874,0.708063565682371,-0.292400151982827,0.19769223610961,"Habitat heterogeneity",FALSE
