"term","independent_r2","percent","iteration","predictor"
"z_hist_report_density",0.0273703214251872,3.51362000227109,1,"Historical survey effort"
"z_curr_report_density",0.347760931826342,44.6432377278927,1,"Current survey effort"
"z_gdp_per_capita",0.0959192732325826,12.313478961309,1,"Per capita GDP"
"z_area_km2",0.285027052361922,36.5898791179566,1,"Area"
"z_habitat_heterogeneity",0.0229002675771973,2.93978419057058,1,"Habitat heterogeneity"
"z_hist_report_density",0.00750947910143732,1.06283369604985,2,"Historical survey effort"
"z_curr_report_density",0.207728229463527,29.4002498591886,2,"Current survey effort"
"z_gdp_per_capita",0.126161060236036,17.8558624555689,2,"Per capita GDP"
"z_area_km2",0.360179838422261,50.977073608168,2,"Area"
"z_habitat_heterogeneity",0.00497399167788313,0.703980381024548,2,"Habitat heterogeneity"
"z_hist_report_density",0.00944538362687162,1.39210716537442,3,"Historical survey effort"
"z_curr_report_density",0.208459744973679,30.7238240535181,3,"Current survey effort"
"z_gdp_per_capita",0.209185827440502,30.8308376640443,3,"Per capita GDP"
"z_area_km2",0.217970197384246,32.1255213767519,3,"Area"
"z_habitat_heterogeneity",0.0334342858486714,4.92770974031131,3,"Habitat heterogeneity"
"z_hist_report_density",0.00824193791922653,1.50407489387117,4,"Historical survey effort"
"z_curr_report_density",0.0810584701689461,14.7923960495153,4,"Current survey effort"
"z_gdp_per_capita",0.0248113387528953,4.52783217579304,4,"Per capita GDP"
"z_area_km2",0.42679787244087,77.8865323892401,4,"Area"
"z_habitat_heterogeneity",0.00706428499709156,1.28916449158032,4,"Habitat heterogeneity"
"z_hist_report_density",0.0450548654837677,7.13014625711429,5,"Historical survey effort"
"z_curr_report_density",0.189887171421108,30.0505459298291,5,"Current survey effort"
"z_gdp_per_capita",0.129551346743444,20.5021153690865,5,"Per capita GDP"
"z_area_km2",0.228301884066189,36.1298564913738,5,"Area"
"z_habitat_heterogeneity",0.0390973170808322,6.18733595259631,5,"Habitat heterogeneity"
"z_hist_report_density",0.0163677048624199,2.63030059393188,6,"Historical survey effort"
"z_curr_report_density",0.149313246934316,23.9947338612484,6,"Current survey effort"
"z_gdp_per_capita",0.163758353454981,26.3160716773982,6,"Per capita GDP"
"z_area_km2",0.268648922919733,43.1720529820489,6,"Area"
"z_habitat_heterogeneity",0.0241868418407137,3.88684088537259,6,"Habitat heterogeneity"
"z_hist_report_density",0.0170716720921267,2.20100039546408,7,"Historical survey effort"
"z_curr_report_density",0.290165050964245,37.4101252926887,7,"Current survey effort"
"z_gdp_per_capita",0.138669246523213,17.8782174815236,7,"Per capita GDP"
"z_area_km2",0.322897923384595,41.6302781138696,7,"Area"
"z_habitat_heterogeneity",0.00682850252783473,0.880378716454092,7,"Habitat heterogeneity"
"z_hist_report_density",0.0845662396105744,14.2587040225713,8,"Historical survey effort"
"z_curr_report_density",0.0492184049240252,8.29870964472903,8,"Current survey effort"
"z_gdp_per_capita",0.0154206112218304,2.6000675005978,8,"Per capita GDP"
"z_area_km2",0.439523337346846,74.10797981678,8,"Area"
"z_habitat_heterogeneity",0.00435644096929842,0.73453901532193,8,"Habitat heterogeneity"
"z_hist_report_density",0,0,9,"Historical survey effort"
"z_curr_report_density",0.241436917478629,36.2009544705354,9,"Current survey effort"
"z_gdp_per_capita",0.21263159568841,31.8818960865616,9,"Per capita GDP"
"z_area_km2",0.191279556101811,28.6803798437278,9,"Area"
"z_habitat_heterogeneity",0.0215871566383547,3.23676959917518,9,"Habitat heterogeneity"
"z_hist_report_density",0.00923314131202728,1.24390610338374,10,"Historical survey effort"
"z_curr_report_density",0.164547025211208,22.1680836496282,10,"Current survey effort"
"z_gdp_per_capita",0.230537425467095,31.0584340589853,10,"Per capita GDP"
"z_area_km2",0.323969904692261,43.6458327822201,10,"Area"
"z_habitat_heterogeneity",0.0139824613882656,1.88374340578268,10,"Habitat heterogeneity"
"z_hist_report_density",0.0439258570682087,6.8714430289233,11,"Historical survey effort"
"z_curr_report_density",0.179765593652176,28.1212278550055,11,"Current survey effort"
"z_gdp_per_capita",0.118297100514724,18.5055418591263,11,"Per capita GDP"
"z_area_km2",0.27579889784848,43.143982621964,11,"Area"
"z_habitat_heterogeneity",0.021464843096029,3.35780463498092,11,"Habitat heterogeneity"
"z_hist_report_density",0,0,12,"Historical survey effort"
"z_curr_report_density",0.192085682663021,28.7794224711852,12,"Current survey effort"
"z_gdp_per_capita",0.111153971693897,16.6537509010538,12,"Per capita GDP"
"z_area_km2",0.330261312827849,49.4817193868386,12,"Area"
"z_habitat_heterogeneity",0.0339400937167942,5.08510724092234,12,"Habitat heterogeneity"
"z_hist_report_density",0.0529344072134236,8.52385432449036,13,"Historical survey effort"
"z_curr_report_density",0.116250206091701,18.7193901675801,13,"Current survey effort"
"z_gdp_per_capita",0.16648206312618,26.8080616829559,13,"Per capita GDP"
"z_area_km2",0.206648371781441,33.2759108901751,13,"Area"
"z_habitat_heterogeneity",0.0786998729519067,12.6727829347985,13,"Habitat heterogeneity"
"z_hist_report_density",0.00707653698253367,1.14598372643869,14,"Historical survey effort"
"z_curr_report_density",0.220979598257988,35.7857274121028,14,"Current survey effort"
"z_gdp_per_capita",0.0487466558832253,7.8940977060339,14,"Per capita GDP"
"z_area_km2",0.335904634558575,54.3968392717478,14,"Area"
"z_habitat_heterogeneity",0.00480020721618489,0.777351883676854,14,"Habitat heterogeneity"
"z_hist_report_density",0.0230078469448262,3.12587882257237,15,"Historical survey effort"
"z_curr_report_density",0.203168940836089,27.6028213803291,15,"Current survey effort"
"z_gdp_per_capita",0.0329750005945061,4.48003049915353,15,"Per capita GDP"
"z_area_km2",0.471729391173608,64.089826283642,15,"Area"
"z_habitat_heterogeneity",0.00516292998853924,0.701443014302897,15,"Habitat heterogeneity"
"z_hist_report_density",0,0,16,"Historical survey effort"
"z_curr_report_density",0.14405501483614,19.1684208215725,16,"Current survey effort"
"z_gdp_per_capita",0.248680855725463,33.0902697017289,16,"Per capita GDP"
"z_area_km2",0.329435840114449,43.8357861002268,16,"Area"
"z_habitat_heterogeneity",0.0293508908833726,3.90552337647183,16,"Habitat heterogeneity"
"z_hist_report_density",0.0162806825151089,2.1654496006564,17,"Historical survey effort"
"z_curr_report_density",0.239232496821842,31.8196681389818,17,"Current survey effort"
"z_gdp_per_capita",0.183680805516004,24.4308877458763,17,"Per capita GDP"
"z_area_km2",0.303771516197394,40.4038287602486,17,"Area"
"z_habitat_heterogeneity",0.00887293980617696,1.18016575423685,17,"Habitat heterogeneity"
"z_hist_report_density",0.0372243655315329,4.63597716994091,18,"Historical survey effort"
"z_curr_report_density",0.11086232862558,13.8069572758548,18,"Current survey effort"
"z_gdp_per_capita",0.0793431603810877,9.88151375759755,18,"Per capita GDP"
"z_area_km2",0.514514485076945,64.0783898492518,18,"Area"
